practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,imagine_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,053888,00,2023-10-27_13h35.25.582,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,053888,00,2023-10-27_13h35.25.582,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04063366699847393,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06333333333333334, -0.18444444444444444, -0.2388888888888889, -0.27555555555555555, -0.30333333333333334, -0.31, -0.32555555555555554, -0.3466666666666667, -0.37333333333333335, -0.38666666666666666, -0.3933333333333333, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443, -0.39444444444444443]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07666666666666666, 0.19555555555555557, 0.26222222222222225, 0.3011111111111111, 0.32555555555555554, 0.33666666666666667, 0.3477777777777778, 0.35888888888888887, 0.37222222222222223, 0.38222222222222224, 0.3888888888888889, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.000258708001638297, 0.05144312499760417, 0.1023118750017602, 0.15385512499778997, 0.20484995799779426, 0.25607887499791104, 0.307288541996968, 0.35620737499993993, 0.40466933300194796, 0.4537927919955109, 0.5026739999957499, 0.5518311249979888, 0.5997250000000349, 0.6476788750005653, 0.6953961249964777, 0.7435617500013905, 0.7921402919964748, 0.8405134580025333, 0.8891323329953593, 0.9383162919984898, 0.9875040420010919, 1.0368483330021263, 1.086257333001413, 1.135629999997036, 1.1846773329962161, 1.2333502920009778, 1.2819013330008602, 1.3298928329968476, 1.3777375829959055, 1.4260268750003888, 1.4739551250022487]",98.58982045800076,99.89035187500122,,,,053888,00,2023-10-27_13h35.25.582,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.007174250000389293,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05444444444444444, -0.10888888888888888, -0.13, -0.13, -0.13, -0.13, -0.12777777777777777, -0.12555555555555556, -0.14, -0.17555555555555555, -0.20333333333333334, -0.22111111111111112, -0.25, -0.28555555555555556, -0.29555555555555557, -0.3088888888888889, -0.31777777777777777, -0.3433333333333333, -0.36666666666666664, -0.38666666666666666, -0.39666666666666667, -0.4, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0811111111111111, 0.10777777777777778, 0.10777777777777778, 0.10777777777777778, 0.10777777777777778, 0.10777777777777778, 0.0811111111111111, 0.06333333333333334, 0.08222222222222222, 0.12777777777777777, 0.16666666666666666, 0.20222222222222222, 0.24, 0.2833333333333333, 0.29777777777777775, 0.30777777777777776, 0.31, 0.31777777777777777, 0.3244444444444444, 0.33111111111111113, 0.3377777777777778, 0.3411111111111111, 0.3411111111111111, 0.3411111111111111, 0.3411111111111111, 0.3411111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016666699957568198, 0.048237208000500686, 0.09663833300146507, 0.14459875000466127, 0.1925327080025454, 0.24080700000195066, 0.2899702499998966, 0.3391292500018608, 0.3884187080038828, 0.4374671670011594, 0.48579687500023283, 0.5339721250056755, 0.5821031250015949, 0.630136958003277, 0.677784708001127, 0.7256265830001212, 0.7734032080043107, 0.8224391670009936, 0.8712730420011212, 0.9196379170025466, 0.9677592080042814, 1.0159595830045873, 1.0643135000063921, 1.112258417000703, 1.1600717500041355, 1.2078077080004732, 1.2570770000020275, 1.3060738750064047, 1.3551402920056717, 1.4039998750013183, 1.4522195829995326, 1.5005246670043562, 1.548599625006318, 1.5968279580047238, 1.6451147080006194, 1.6929865420024726, 1.7409477500041248, 1.7897666670032777, 1.838850125001045, 1.8881431250047171, 1.9368604170012986, 1.9852681670017773, 2.0332362500048475, 2.0818408750055823, 2.130002666999644, 2.177753667005163, 2.2264429580027354, 2.274575708004704, 2.323208292000345, 2.372258082999906, 2.421181333003915, 2.4698233750023064, 2.5186342500019236, 2.567277792004461, 2.6160632080063806, 2.6643302920056158, 2.7126300830059336, 2.7604214580060216, 2.8083630420005647, 2.8563312080004835, 2.90486966699973, 2.9537755000055768, 3.002053458003502, 3.0503060830014874, 3.0983284169997205, 3.1463037920038914, 3.194487625005422, 3.242513458004396, 3.290429208005662, 3.339446042002237, 3.38869466700271, 3.4376267080006073, 3.4861579170028563, 3.5348609580032644, 3.582912750003743, 3.630860000004759, 3.678898083002423, 3.726988624999649, 3.7751941250025993, 3.8235600000043632, 3.8725524580004276, 3.92155362500489, 3.9705441250043805, 4.019425750004302, 4.068127042002743, 4.1157335419993615, 4.164215583004989, 4.212482958006149, 4.261072875000536, 4.309312625002349, 4.357359667003038, 4.406093167002837, 4.454829207999865, 4.503287208004622, 4.551520167005947, 4.599280500005989, 4.647260333003942, 4.695249792006507, 4.743087750000996, 4.791267292006523, 4.839961750003567, 4.889124332999927, 4.9383210000014515, 4.986914332999731, 5.03543695800181, 5.084041875001276, 5.132659125003556, 5.180017625003529, 5.228156000004674, 5.276122667004529, 5.324247791999369, 5.373813583006267, 5.42312537500402, 5.472793042004923, 5.524423000002571, 5.576363208005205, 5.628643167001428, 5.680894832999911, 5.733249208002235, 5.784929292000015, 5.836836542002857, 5.888173583000025, 5.93721537500096, 5.986280708006234, 6.035120333006489, 6.08377433300484, 6.1323247920008725, 6.180992749999859, 6.229280667001149, 6.278371167005389, 6.327008792002744]",116.13803908300179,,,,,053888,00,2023-10-27_13h35.25.582,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,0.011856083001475781,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.011111111111111112, -0.012222222222222223, -0.015555555555555555, -0.021111111111111112, -0.028888888888888888, -0.04666666666666667, -0.06666666666666667, -0.09333333333333334, -0.1288888888888889, -0.15222222222222223, -0.19333333333333333, -0.2288888888888889, -0.27, -0.30333333333333334, -0.32555555555555554, -0.3466666666666667, -0.35333333333333333, -0.35555555555555557, -0.3566666666666667, -0.3611111111111111, -0.36777777777777776, -0.3688888888888889, -0.37555555555555553, -0.38555555555555554, -0.39, -0.40555555555555556, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0033333333333333335, -0.0033333333333333335, -0.0033333333333333335, -0.0033333333333333335, -0.0033333333333333335, -0.0022222222222222222, 0.0, 0.0044444444444444444, 0.012222222222222223, 0.017777777777777778, 0.028888888888888888, 0.03888888888888889, 0.044444444444444446, 0.05333333333333334, 0.06222222222222222, 0.07111111111111111, 0.07666666666666666, 0.0811111111111111, 0.08555555555555555, 0.09666666666666666, 0.12222222222222222, 0.13555555555555557, 0.14555555555555555, 0.15222222222222223, 0.15555555555555556, 0.1622222222222222, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001705839968053624, 0.04933299999538576, 0.09893333399668336, 0.1481622499995865, 0.19755658399662934, 0.24637454199546482, 0.29548124999564607, 0.344053916996927, 0.3918313339963788, 0.44003854200127535, 0.4879250839949236, 0.5358323339969502, 0.5847080419989652, 0.6341067499961355, 0.6834107920003589, 0.7329005419960595, 0.7818679589981912, 0.8313383749991772, 0.8809834999992745, 0.9301359169985517, 0.9789295000009588, 1.0277583749993937, 1.0763030419984716, 1.1243319589993916, 1.1729347919972497, 1.2221099999951548, 1.2708143749987357, 1.319919542002026, 1.369288834001054, 1.41817262499535, 1.466684291997808, 1.5159130419997382, 1.5652745839979616, 1.6141741669998737, 1.6627673749972018, 1.7118762919999426, 1.7605841670010705, 1.8094581670011394, 1.858544417002122, 1.907160709000891, 1.9551418339979136, 2.003724208996573]",127.73168075000285,,,,,053888,00,2023-10-27_13h35.25.582,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,053888,00,2023-10-27_13h35.25.582,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.9278026250031,,,053888,00,2023-10-27_13h35.25.582,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.81695450000552,,053888,00,2023-10-27_13h35.25.582,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.36545541600208,053888,00,2023-10-27_13h35.25.582,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009403000003658235,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05333333333333334, -0.11333333333333333, -0.17444444444444446, -0.21333333333333335, -0.25, -0.2822222222222222, -0.31, -0.3211111111111111, -0.33111111111111113, -0.33111111111111113, -0.34444444444444444, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3477777777777778, -0.35333333333333333, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.3522222222222222, -0.3511111111111111, -0.3488888888888889, -0.3477777777777778, -0.3477777777777778, -0.3466666666666667, -0.3466666666666667, -0.34444444444444444, -0.34444444444444444, -0.3433333333333333, -0.3433333333333333, -0.3422222222222222, -0.3422222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04777777777777778, 0.10111111111111111, 0.15666666666666668, 0.19777777777777777, 0.24, 0.2722222222222222, 0.29444444444444445, 0.30444444444444446, 0.31555555555555553, 0.31666666666666665, 0.3388888888888889, 0.3466666666666667, 0.3466666666666667, 0.3466666666666667, 0.3466666666666667, 0.3466666666666667, 0.3466666666666667, 0.3466666666666667, 0.3466666666666667, 0.3466666666666667, 0.3466666666666667, 0.3466666666666667, 0.35, 0.37, 0.37444444444444447, 0.37444444444444447, 0.37444444444444447, 0.37444444444444447, 0.37444444444444447, 0.3711111111111111, 0.3688888888888889, 0.36666666666666664, 0.36666666666666664, 0.36444444444444446, 0.3622222222222222, 0.3611111111111111, 0.3566666666666667, 0.35555555555555557, 0.35333333333333333, 0.35333333333333333, 0.3522222222222222, 0.3522222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.000407375002396293, 0.0495517919989652, 0.09867462499823887, 0.14730929199868115, 0.19667358299921034, 0.24603370800468838, 0.2947804170034942, 0.3436191250002594, 0.392684124999505, 0.4424584170046728, 0.4916254999989178, 0.5410113750040182, 0.5903415830034646, 0.6397255420015426, 0.6886896670039278, 0.7376221250015078, 0.7867619579992606, 0.8348504579989822, 0.8829632499982836, 0.9309510829989449, 0.9785654580045957, 1.026264167005138, 1.075348792001023, 1.1241607920019305, 1.1733474580032635, 1.2215536670046276, 1.2697879580009612, 1.318001291998371, 1.3672148330006166, 1.4163515830005053, 1.464722458003962, 1.513107457998558, 1.5609867079983815, 1.6089703750039916, 1.6585109170046053, 1.708144333002565, 1.7577144579991, 1.8068349169989233, 1.8552178750032908, 1.9036101250021602, 1.9526375420027762, 2.001098833003198, 2.049414417000662, 2.097917375001998, 2.1459743330051424, 2.194116541999392, 2.2426817919986206, 2.2919012080019456]",290.39769983300357,,,,,,,,,,,
