practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,blink_text.started,section_2_text.started,section_3_text.started,euclid_text.started,section_4_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2024-01-16_11h04.42.001,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2024-01-16_11h04.42.001,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.893606833007652,,,,,,,,,,,,,,,0,2,2024-01-16_11h04.42.001,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005407079879660159,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0077777777777777776, -0.043333333333333335, -0.1, -0.19333333333333333, -0.26, -0.3, -0.32222222222222224, -0.3377777777777778, -0.3488888888888889, -0.3566666666666667, -0.35888888888888887]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033333333333333335, 0.024444444444444446, 0.07444444444444444, 0.18444444444444444, 0.27666666666666667, 0.33555555555555555, 0.36, 0.37444444444444447, 0.3888888888888889, 0.4022222222222222, 0.4066666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001769159862305969, 0.04916158298146911, 0.0970702079939656, 0.14442762499675155, 0.19196133298100904, 0.24004879099084064, 0.28894637498888187, 0.33740695798769593, 0.38626133298384957, 0.4348294999799691, 0.483371290989453, 0.5321760409860872, 0.5805137080023997, 0.6289364159747493, 0.677523749996908, 0.7262708329944871, 0.7751529579982162]",64.89402183299535,53.613900166004896,,,,,,0,2,2024-01-16_11h04.42.001,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047221582994097844,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.025555555555555557, -0.09444444444444444, -0.20444444444444446, -0.29444444444444445, -0.3277777777777778, -0.33555555555555555, -0.3377777777777778, -0.33555555555555555, -0.3277777777777778, -0.3244444444444444, -0.31444444444444447, -0.29888888888888887, -0.2966666666666667, -0.2966666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015555555555555555, 0.09333333333333334, 0.22444444444444445, 0.3322222222222222, 0.38, 0.4011111111111111, 0.41444444444444445, 0.4222222222222222, 0.42777777777777776, 0.4288888888888889, 0.42333333333333334, 0.41333333333333333, 0.41, 0.41]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001818329910747707, 0.04799929101136513, 0.09603379099280573, 0.1440123750071507, 0.19131516601191834, 0.23936845801654272, 0.28746366599807516, 0.3356342499901075, 0.3832953330129385, 0.4309800410119351, 0.47894704100326635, 0.5271162909921259, 0.5762725000095088, 0.6253984160139225, 0.6741299580025952, 0.7225772500096355, 0.7710750410042237, 0.8195990410167724, 0.8686469160020351, 0.9172473330108915, 0.9660492909897584, 1.0145677909895312, 1.0632823329942767, 1.112021208013175, 1.1602613750146702, 1.2087570000148844]",74.39379549998557,,,,,,,0,2,2024-01-16_11h04.42.001,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2024-01-16_11h04.42.001,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2024-01-16_11h04.42.001,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.27356241599773,,,,,0,2,2024-01-16_11h04.42.001,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005647499929182231,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.022222222222222223, -0.09444444444444444, -0.17, -0.22, -0.2611111111111111, -0.29888888888888887, -0.3277777777777778, -0.3411111111111111, -0.35444444444444445, -0.3688888888888889, -0.37777777777777777, -0.3877777777777778, -0.3933333333333333, -0.3933333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008888888888888889, 0.052222222222222225, 0.10666666666666667, 0.14666666666666667, 0.18222222222222223, 0.2088888888888889, 0.22111111111111112, 0.22555555555555556, 0.22555555555555556, 0.22555555555555556, 0.22555555555555556, 0.22666666666666666, 0.22777777777777777, 0.22777777777777777]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018495801487006247, 0.04913758300244808, 0.09660154199809767, 0.14424570801202208, 0.19212833300116472, 0.24016225000377744, 0.2884389579994604, 0.33743258300819434, 0.3859908329905011, 0.43474075000267476, 0.4830983330029994, 0.5311383749940433, 0.5796485829923768, 0.6281916669977363, 0.6767781249945983, 0.725252583011752, 0.7738533749943599, 0.8225003330153413, 0.871691833017394, 0.9199047080182936]",120.5395128329983,,,79.64829837498837,98.79838329099584,121.4094297499978,,0,2,2024-01-16_11h04.42.001,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2024-01-16_11h04.42.001,WythoffsHumanExp,2023.1.3,None,
