games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,23.857223375000103,,,,,,,,,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,0.03759604200058675,"[-0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445]","[0.2811111111111111, 0.2811111111111111, 0.2811111111111111, 0.2811111111111111, 0.2811111111111111, 0.2811111111111111, 0.2811111111111111, 0.2822222222222222]","[0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.00017729099999996834, 0.04985579099957249, 0.0988444159993378, 0.14827962500021385, 0.19730966599854582, 0.246246249998876, 0.29682312499971886, 0.3464868329992896]",,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,0.04660116699960781,"[-0.4988888888888889, -0.4988888888888889, -0.4766666666666667, -0.4122222222222222, -0.3811111111111111, -0.37666666666666665, -0.37666666666666665, -0.37777777777777777, -0.38, -0.3877777777777778, -0.39666666666666667, -0.4077777777777778, -0.4111111111111111]","[0.3055555555555556, 0.3055555555555556, 0.3244444444444444, 0.37333333333333335, 0.4, 0.40555555555555556, 0.40555555555555556, 0.4077777777777778, 0.41, 0.41, 0.41, 0.4088888888888889, 0.4077777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018004099911195226, 0.051428249998934916, 0.10163104099956399, 0.15222287500000675, 0.202182625000205, 0.25193833299999824, 0.30184995799936587, 0.351893208000547, 0.40149258299970825, 0.45182137499978126, 0.5023618750001333, 0.5526300410001568, 0.6024949999991804]",,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,34.18017937500008,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,0.039167332999568316,"[-0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11666666666666667, -0.11444444444444445, -0.09333333333333334, -0.07222222222222222, -0.06333333333333334, -0.06222222222222222, -0.06333333333333334, -0.07222222222222222, -0.07666666666666666, -0.06555555555555556, -0.06555555555555556, -0.06555555555555556, -0.06555555555555556, -0.017777777777777778, 0.11333333333333333, 0.2222222222222222, 0.27, 0.27666666666666667, 0.2788888888888889, 0.2811111111111111, 0.28555555555555556, 0.2922222222222222, 0.29555555555555557, 0.29555555555555557]","[0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.006666666666666667, 0.014444444444444444, 0.02, 0.02, 0.013333333333333334, -0.011111111111111112, -0.043333333333333335, -0.06555555555555556, -0.08222222222222222, -0.08222222222222222, -0.08222222222222222, -0.08222222222222222, -0.08222222222222222, -0.09777777777777778, -0.12333333333333334, -0.14333333333333334, -0.14666666666666667, -0.14666666666666667, -0.14444444444444443, -0.14222222222222222, -0.13555555555555557, -0.1322222222222222, -0.1322222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018195799930253997, 0.04974416599907272, 0.09910570799911511, 0.14883083300082944, 0.19781487500040384, 0.24707074999969336, 0.2961461249997228, 0.3449322910000774, 0.39376508299937996, 0.44250800000008894, 0.4914669160007179, 0.5402553749991057, 0.5896030410003732, 0.6393747080001049, 0.6883217499998864, 0.7380027079998399, 0.788420999999289, 0.8390298329995858, 0.8894104160008283, 0.9390572499996779, 0.9894729999996343, 1.039280332999624, 1.0890931249996356, 1.1386387500006094, 1.1889502499998343, 1.2388818330000504, 1.288602415999776, 1.33861641600015, 1.3890556250007648, 1.4395610409992514, 1.489746916000513, 1.5401486249993468, 1.5897687500000757, 1.6398039159994369, 1.6895213330008119, 1.7396860000008019, 1.789572457999384, 1.8402164159997483, 1.889354082999489]",,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,0.02528929199979757,"[0.5844444444444444, 0.5844444444444444, 0.5844444444444444, 0.5844444444444444, 0.5711111111111111, 0.4777777777777778, 0.3566666666666667, 0.31222222222222223, 0.29888888888888887, 0.29888888888888887, 0.29888888888888887, 0.29888888888888887, 0.29888888888888887, 0.29444444444444445, 0.22777777777777777, 0.12555555555555556, 0.09777777777777778, 0.09666666666666666, 0.09666666666666666, 0.09666666666666666, 0.09666666666666666, 0.09444444444444444, 0.05444444444444444, -0.005555555555555556, -0.021111111111111112, -0.024444444444444446, -0.027777777777777776, -0.03222222222222222, -0.03888888888888889, -0.042222222222222223, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667, -0.04666666666666667]","[-0.12555555555555556, -0.12555555555555556, -0.12555555555555556, -0.12555555555555556, -0.12111111111111111, -0.08555555555555555, -0.02666666666666667, -0.0011111111111111111, 0.0077777777777777776, 0.008888888888888889, 0.008888888888888889, 0.008888888888888889, 0.008888888888888889, 0.01, 0.042222222222222223, 0.09111111111111111, 0.10444444444444445, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.12333333333333334, 0.15666666666666668, 0.16666666666666666, 0.1688888888888889, 0.1688888888888889, 0.1688888888888889, 0.1688888888888889, 0.17, 0.17222222222222222, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334, 0.17333333333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018025000099441968, 0.05005804100073874, 0.09926454100059345, 0.1486992910013214, 0.19837870800074597, 0.24811125000087486, 0.29768229100045573, 0.34746575000099256, 0.39727845800007344, 0.4468099160003476, 0.49621579100130475, 0.5455827910009248, 0.5957270830003836, 0.6458095830003003, 0.6965522500013321, 0.7465085410003667, 0.7965965830007917, 0.8453221250001661, 0.8948099999997794, 0.944382833000418, 0.9940784580012405, 1.0444129160005104, 1.0953040410004178, 1.1460327500008134, 1.19648479100033, 1.2462982910001301, 1.2961715410001489, 1.3466820410012588, 1.3966742499997054, 1.4463545409998915, 1.4961240000011458, 1.5462238750005781, 1.595426290999967, 1.64507733299979, 1.695004125000196, 1.7453379159996985, 1.794820166000136, 1.8438979580005253, 1.8933356249999633, 1.9429215830004978, 1.9929038330010371, 2.042939708000631, 2.093496540999695, 2.1428726660014945, 2.192555749999883, 2.24166787500144, 2.290985666000779, 2.340229833000194, 2.389501708001262, 2.4384332500012533, 2.488091582999914, 2.5370296250002866, 2.5863467500003026, 2.635108375001437, 2.684127874999831, 2.7332100410003477, 2.7820220829999016, 2.83081887499975, 2.8801517080009944, 2.929081166001197, 2.9789290410008107, 3.0284682080000493, 3.07854962500096, 3.1285683330006577, 3.178370666000774, 3.228518249999979, 3.2785960830005934, 3.328321083001356, 3.3781475000014325, 3.4278710409998894, 3.477690583000367, 3.5280503750000207, 3.578048999999737, 3.6274491250005667, 3.676807166000799, 3.7264726660014276, 3.7768013330005488, 3.8267002499997034, 3.876392500000293, 3.9274536250013625, 3.9770473330008826, 4.026160625000557, 4.075253666000208, 4.124377416001153, 4.173307125000065, 4.2221033750010974, 4.271189666000282, 4.3199132080007985, 4.3690048750013375, 4.4178158750000875, 4.466625291001037, 4.5154992080006195, 4.56426625000131, 4.613409540999783, 4.662339624999731, 4.712391125000067, 4.762468916000216, 4.813018750000992, 4.861869000000297, 4.91156625000076, 4.961039583000456, 5.010469708000528, 5.060315165999782, 5.110829582999941, 5.160466416000418, 5.209956333001173, 5.259723666000355, 5.309468082999956, 5.358726958000261, 5.408030874999895, 5.457432000001063, 5.506630957999732, 5.555502458000774, 5.604118375000326, 5.653040625000358, 5.702311125000051, 5.7513372909998, 5.801147583000784, 5.850484041000527]",,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,0.047662790999311255,"[-0.1688888888888889, -0.16555555555555557, -0.14777777777777779, -0.1322222222222222, -0.12222222222222222, -0.11666666666666667, -0.11444444444444445, -0.11777777777777777, -0.13555555555555557, -0.16555555555555557, -0.19, -0.1988888888888889, -0.1988888888888889, -0.1988888888888889, -0.1988888888888889, -0.2, -0.23, -0.2688888888888889, -0.29444444444444445, -0.3011111111111111, -0.30444444444444446, -0.30444444444444446]","[0.2411111111111111, 0.24555555555555555, 0.27111111111111114, 0.2966666666666667, 0.31333333333333335, 0.3244444444444444, 0.3277777777777778, 0.3288888888888889, 0.33, 0.33555555555555555, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3377777777777778, 0.3388888888888889, 0.34, 0.3422222222222222, 0.34444444444444444, 0.34555555555555556, 0.34555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003820000001724111, 0.051086041999951703, 0.10143279200019606, 0.15230945800067275, 0.20268666700030735, 0.252564500000517, 0.3024893330002669, 0.35264112500044575, 0.4034924580009829, 0.4533449169994128, 0.5031020419992274, 0.5527384170000005, 0.6018909169997642, 0.6516045419994043, 0.701573542000915, 0.7521680000008928, 0.8025187919993186, 0.8521961250007735, 0.9028022080001392, 0.9527233749995503, 1.0028937499992026, 1.0533670420009003]",,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,3,0,3,0,,0.03720091600007436,"[-0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222]","[0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.00017808299890020862, 0.050031457998557016, 0.09991516599984607, 0.14981791599893768, 0.2002950409987534, 0.25018337499932386, 0.3011696249996021]",,,,152185,001,2023-10-06_10h50.26.889,WythoffsHumanExp,2023.1.3,None,
