games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,board_outline.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.219618959003128,,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,57.6965913749882,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,92.96936149999965,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,103.94737770903157,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,112.38640008401126,161611,001,2023-09-27_12h37.33.002,WythoffsHumanExp,2023.1.3,None,
