games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,recall_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167121,001,2023-10-24_16h17.30.631,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167121,001,2023-10-24_16h17.30.631,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,10.973055583000132,,,,,,,,,,,,167121,001,2023-10-24_16h17.30.631,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"[-0.03777777777777778, -0.03777777777777778, -0.03777777777777778, -0.03777777777777778, -0.03777777777777778, -0.03777777777777778, -0.043333333333333335, -0.08333333333333333, -0.10444444444444445, -0.10777777777777778, -0.10777777777777778, -0.10777777777777778, -0.10777777777777778, -0.10777777777777778, -0.1111111111111111, -0.13555555555555557, -0.15, -0.15777777777777777, -0.16444444444444445, -0.16666666666666666, -0.16777777777777778, -0.16777777777777778, -0.16777777777777778, -0.16777777777777778, -0.1688888888888889, -0.1688888888888889, -0.1688888888888889, -0.1688888888888889, -0.1688888888888889, -0.15333333333333332, -0.13777777777777778, -0.13444444444444445, -0.13444444444444445]","[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.07444444444444444, 0.18777777777777777, 0.2411111111111111, 0.2477777777777778, 0.2477777777777778, 0.2477777777777778, 0.2477777777777778, 0.2477777777777778, 0.2633333333333333, 0.3188888888888889, 0.3477777777777778, 0.3655555555555556, 0.38222222222222224, 0.3933333333333333, 0.39666666666666667, 0.3977777777777778, 0.3977777777777778, 0.3977777777777778, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017141699981948477, 0.04941729199981637, 0.09797608300004867, 0.14632191700002295, 0.19544487499979368, 0.24529595800004245, 0.29452104199981477, 0.34437895800010665, 0.39373075000003155, 0.44227966700009347, 0.49106475000007777, 0.5396260829998027, 0.5883143750002091, 0.6373929169999428, 0.6864757079997617, 0.7356249169997682, 0.7850568329999987, 0.8348351670001648, 0.8850407079999059, 0.9354695000001811, 0.9845530419997885, 1.0334236670000791, 1.0827236250001988, 1.1320443750000777, 1.1817133330000615, 1.2303425830000378, 1.280428375000156, 1.3288468330001706, 1.3785006250000151, 1.4278071250000721, 1.4772718750000422, 1.5268389170000773, 1.5760057500001494]",0.01031650000004447,23.049391583000215,,,,167121,001,2023-10-24_16h17.30.631,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,"[-0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4]","[0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667, 0.4066666666666667]","[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0001747080000313872, 0.04951158299991221, 0.09820608299969535, 0.14650316699999166, 0.1947106249999706, 0.24383604200011177, 0.2932649579997815, 0.34245695799972964]",0.030573125000046275,32.30632712500028,,,,167121,001,2023-10-24_16h17.30.631,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1749543750002,,,167121,001,2023-10-24_16h17.30.631,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167121,001,2023-10-24_16h17.30.631,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.166467750000265,,167121,001,2023-10-24_16h17.30.631,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.67333425000015,167121,001,2023-10-24_16h17.30.631,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.058888888888888886, -0.1111111111111111, -0.21, -0.2688888888888889, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.2811111111111111, -0.3244444444444444, -0.37333333333333335, -0.3988888888888889, -0.4077777777777778, -0.41, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111]","[-0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, -0.0022222222222222222, 0.024444444444444446, 0.08333333333333333, 0.12444444444444444, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.16444444444444445, 0.20222222222222222, 0.2288888888888889, 0.23666666666666666, 0.23777777777777778, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018150000005334732, 0.0497887090000404, 0.09889724999993632, 0.1470235000001594, 0.1957393749999028, 0.2443198749997464, 0.29282054199984486, 0.3412348749998273, 0.3895492500000728, 0.4383271669998976, 0.48724833400001444, 0.5358462089998284, 0.5848729169997569, 0.63373191699975, 0.6822011670001302, 0.7314948339999319, 0.780080624999755, 0.8290565839997726, 0.8775540000001456, 0.9262264999997569, 0.9745836669999335, 1.0230282920001628, 1.0718385840000337, 1.1208148750001783, 1.1700789169999553, 1.2193039590001717, 1.2685853749999296, 1.3177533339999172, 1.3669420000001082, 1.4157929590001004, 1.4648319170000832, 1.51344329199992, 1.5622009999997317, 1.6107295000001614, 1.6594626249998328, 1.707732083999872, 1.7562210420001065, 1.804627624999739, 1.8536397090001628, 1.9022977499998888, 1.9512812919997486, 2.0002604999999676, 2.049067124999965, 2.0974307500000577, 2.146309041999757, 2.195407583999895, 2.2440247499998804, 2.2939308750001146, 2.3426957500000753, 2.3912111250001544, 2.4394504589999997, 2.487653749999936, 2.535689041999831, 2.5839553340001657, 2.6322026670000014, 2.6814422500001456, 2.7304322499999216, 2.7794628749998083, 2.828899250000177, 2.878157999999985, 2.9274835840001288, 2.9758490839999467, 3.0242960840000706, 3.0728555420000703, 3.1217387090000557, 3.1702440839999326, 3.2187112090000483, 3.267706624999846, 3.3172882499998195, 3.365987749999931, 3.4148854589998336, 3.4638086250001834, 3.5127173749997382, 3.561192624999876, 3.6091984999998203, 3.657493291999799, 3.7056816670001353, 3.754511999999977, 3.803544584000065, 3.8522144590001517, 3.900872416999846, 3.9492876250001245, 3.998677999999927, 4.047208667000177, 4.095744083999762, 4.143829333999747, 4.192458041999998, 4.2415698340000745, 4.290635416999976, 4.339005333999921, 4.38763658400012, 4.436920333999751, 4.4858397090001745, 4.535061791999851, 4.584221250000155, 4.632924749999802, 4.682138208999731, 4.730842916999791, 4.77887308399977, 4.82763712499991, 4.876638917000037, 4.925385583999741, 4.973633167000116, 5.022564333999981, 5.071284291999746, 5.120517709000069, 5.168748999999934, 5.217358459000025, 5.265870083999744, 5.314508250000017, 5.362948625000172, 5.411677042000065, 5.460249917000056, 5.50878237500001, 5.557294749999983, 5.606358375000127, 5.654947874999834, 5.704471084000033, 5.75282500000003, 5.801320125000075, 5.851176708999901, 5.900001250000059]",0.021234791000097175,89.393257791,,,,,,,,,,
