games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,mouse.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,175282,001,2023-10-12_14h11.43.697,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,175282,001,2023-10-12_14h11.43.697,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,18.696811499990872,,,,,,,,,,,175282,001,2023-10-12_14h11.43.697,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,[],[],[],[],[],[],,,,,175282,001,2023-10-12_14h11.43.697,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,26.134365124991746,,,,175282,001,2023-10-12_14h11.43.697,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,"[-0.4, -0.4, -0.4011111111111111, -0.4033333333333333, -0.40444444444444444, -0.40555555555555556, -0.4066666666666667]","[-0.03777777777777778, -0.03888888888888889, -0.04111111111111111, -0.043333333333333335, -0.044444444444444446, -0.04666666666666667, -0.04666666666666667]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.0003770000039367005, 0.05102104200341273, 0.10140641700127162, 0.15111554200120736, 0.20101987500675023, 0.250965333005297, 0.30087449999700766]",,0.02795520798827056,,,175282,001,2023-10-12_14h11.43.697,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,34.08581866699387,,,,175282,001,2023-10-12_14h11.43.697,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,34.6587644169922,,175282,001,2023-10-12_14h11.43.697,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,175282,001,2023-10-12_14h11.43.697,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,35.63375449999876,175282,001,2023-10-12_14h11.43.697,WythoffsHumanExp,2023.1.3,None,
