games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,19.549348250002367,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,26.625572167002247,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,47.81957054200029,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,92.79132375000336,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,98.86041249999835,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,,,,,,108.12975404199824,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,0,0,0,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,1,0,1,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,2,0,2,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,,,,,,132.26523820900184,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,0,0,0,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,1,0,1,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,2,0,2,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,,,,,,154.29207154200412,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,0,0,0,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,1,0,1,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,,,,,,164.5166753750018,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,0,0,0,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,,,,,,172.08258025000396,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,0,0,0,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,1,0,1,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,2,0,2,0,,,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,,,,,,229.7948354170003,188411,001,2023-09-29_16h17.39.888,WythoffsHumanExp,2023.1.3,None,
