games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,recall_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192059,001,2023-10-25_12h50.40.235,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192059,001,2023-10-25_12h50.40.235,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,12.235098625000319,,,,,,,,,,,,192059,001,2023-10-25_12h50.40.235,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.020110667000153626,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005555555555555556, 0.03111111111111111, -0.057777777777777775, -0.10111111111111111, -0.15555555555555556, -0.21888888888888888, -0.29555555555555557, -0.35, -0.37444444444444447, -0.37666666666666665, -0.37777777777777777, -0.38, -0.3844444444444444, -0.38666666666666666, -0.39, -0.39111111111111113, -0.39111111111111113, -0.39111111111111113, -0.39111111111111113, -0.39111111111111113, -0.39111111111111113, -0.39111111111111113]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0077777777777777776, 0.06111111111111111, 0.14444444444444443, 0.17555555555555555, 0.2011111111111111, 0.2222222222222222, 0.27111111111111114, 0.31333333333333335, 0.33555555555555555, 0.34, 0.3522222222222222, 0.37, 0.3888888888888889, 0.3977777777777778, 0.4022222222222222, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017912499970407225, 0.048088333000123384, 0.0955022079997434, 0.1432625420002296, 0.1907544579999012, 0.2382538330002717, 0.2861739170002693, 0.3336612920002153, 0.3816870000000563, 0.4293980829997963, 0.4770823749995543, 0.5256630829999267, 0.573989999999867, 0.6224929170002724, 0.6716391669997392, 0.7204656670000986, 0.7688413329997275, 0.8182278750000478, 0.8668018749995099, 0.9153461670002798, 0.9636250000003201, 1.0118387080001412, 1.0601186249996317, 1.108550916999775, 1.1570832079996762, 1.2052487920000203, 1.2534162080000897, 1.301660291999724, 1.349478041999646, 1.3972887919999266, 1.445192207999753, 1.49393741699987, 1.5421064169995589]",24.06566791700061,,,,192059,001,2023-10-25_12h50.40.235,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0.010198040999966906,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.035555555555555556, -0.07555555555555556, -0.12777777777777777, -0.17444444444444446, -0.22333333333333333, -0.2833333333333333, -0.33444444444444443, -0.35888888888888887, -0.37777777777777777, -0.38, -0.38, -0.3811111111111111, -0.38333333333333336, -0.39444444444444443, -0.3988888888888889, -0.4, -0.4, -0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014444444444444444, 0.05, 0.09888888888888889, 0.14, 0.21444444444444444, 0.30333333333333334, 0.35888888888888887, 0.39222222222222225, 0.4177777777777778, 0.41888888888888887, 0.41888888888888887, 0.4211111111111111, 0.4211111111111111, 0.41888888888888887, 0.4166666666666667, 0.4166666666666667, 0.4166666666666667, 0.4166666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017179100086650578, 0.0484785410008044, 0.09723945800033107, 0.14563312500013126, 0.19386812500033557, 0.24271804100044392, 0.29146566600047663, 0.34070225000050414, 0.3890164160002314, 0.43799091600067186, 0.4871789160006301, 0.5354875000002721, 0.5840846660003081, 0.6325470000001587, 0.6809453330006363, 0.7290556250000009, 0.777093125000647, 0.8250711250002496, 0.8737650410002971, 0.9222155830002521, 0.9708298750001632, 1.0188230830008251, 1.066922875000273, 1.1149859580000339]",38.20158945900039,,,,192059,001,2023-10-25_12h50.40.235,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.735288792000574,,,192059,001,2023-10-25_12h50.40.235,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192059,001,2023-10-25_12h50.40.235,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.59913725000024,,192059,001,2023-10-25_12h50.40.235,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8637713750004,192059,001,2023-10-25_12h50.40.235,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,0.03650233400003344,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011111111111111112, -0.06222222222222222, -0.11333333333333333, -0.11333333333333333, -0.11333333333333333, -0.11333333333333333, -0.08888888888888889, -0.042222222222222223, -0.042222222222222223, -0.042222222222222223, -0.042222222222222223, -0.042222222222222223, -0.042222222222222223, -0.042222222222222223, -0.042222222222222223, -0.042222222222222223, -0.057777777777777775, -0.08777777777777777, -0.19777777777777777, -0.30777777777777776, -0.31333333333333335, -0.32, -0.3522222222222222, -0.3622222222222222, -0.3711111111111111, -0.41555555555555557, -0.43444444444444447, -0.44, -0.44, -0.44, -0.4388888888888889, -0.43444444444444447, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03333333333333333, 0.10777777777777778, 0.1711111111111111, 0.2311111111111111, 0.28, 0.2911111111111111, 0.2822222222222222, 0.2577777777777778, 0.2577777777777778, 0.2577777777777778, 0.2577777777777778, 0.2577777777777778, 0.2577777777777778, 0.2577777777777778, 0.2577777777777778, 0.2577777777777778, 0.26, 0.2588888888888889, 0.2911111111111111, 0.31666666666666665, 0.31777777777777777, 0.3233333333333333, 0.3322222222222222, 0.33666666666666667, 0.3433333333333333, 0.38, 0.3988888888888889, 0.41333333333333333, 0.4211111111111111, 0.4222222222222222, 0.4222222222222222, 0.4211111111111111, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00046012500024517067, 0.048913500000708154, 0.09648333300083323, 0.14441804200032493, 0.19229087500025344, 0.24019229200075642, 0.2875647500004561, 0.33551662500030943, 0.38391445800061774, 0.432289333000881, 0.48052458300026046, 0.5289147500006948, 0.5777935000005527, 0.6263638750006066, 0.6749905420001596, 0.7232058750005308, 0.7718233330006115, 0.8205544580005153, 0.8682848750004268, 0.9158543750008903, 0.9637999580008909, 1.01156550000087, 1.059628667000652, 1.107845792000262, 1.156300875000852, 1.2045199170006526, 1.2529421670005831, 1.3015657920004742, 1.3498589580003681, 1.398476125000343, 1.446831292000752, 1.4953903330006142, 1.5443390420005016, 1.5927791250005612, 1.6410844580004778, 1.6896113750008226, 1.737930292000783, 1.7863762920005684, 1.8350109580005665, 1.883598250000432, 1.9319155420007519, 1.9803264580004907, 2.028380083000229]",117.11689595900043,,,,,,,,,,
