practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,nim_text.started,section_4_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221349,001,2024-02-01_08h25.41.313,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221349,001,2024-02-01_08h25.41.313,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.775267874996644,,,,,,,,,,,,,,,,221349,001,2024-02-01_08h25.41.313,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01738404098432511,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.006666666666666667, -0.14666666666666667, -0.30777777777777776, -0.3511111111111111, -0.35777777777777775, -0.35777777777777775, -0.35777777777777775, -0.35777777777777775, -0.35777777777777775, -0.37666666666666665, -0.39444444444444443, -0.39666666666666667, -0.39666666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011111111111111111, 0.13111111111111112, 0.34, 0.3877777777777778, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39111111111111113, 0.39444444444444443, 0.4, 0.4022222222222222, 0.4022222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001806250074878335, 0.050844250014051795, 0.1079392500105314, 0.15749129204778, 0.206188167037908, 0.2554056670051068, 0.3045832920470275, 0.35338995803613216, 0.40239337499951944, 0.4517077920027077, 0.5028843330219388, 0.5562512920005247, 0.609609833045397, 0.6595950000337325, 0.7099572920124047, 0.7608310829964466, 0.8097296670312062, 0.8583187500480562, 0.9076382080093026, 0.9575860420009121, 1.007560750003904, 1.057159042044077, 1.1064613750204444, 1.1559911250369623, 1.2055196250439622]",58.539069916005246,44.43637129099807,,,,,,,221349,001,2024-02-01_08h25.41.313,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03014737495686859,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0033333333333333335, -0.07111111111111111, -0.18333333333333332, -0.2866666666666667, -0.33111111111111113, -0.3466666666666667, -0.35555555555555557, -0.3622222222222222, -0.37, -0.3788888888888889, -0.38555555555555554, -0.39, -0.39111111111111113, -0.39222222222222225]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025555555555555557, 0.09, 0.14777777777777779, 0.16444444444444445, 0.1711111111111111, 0.17333333333333334, 0.17444444444444446, 0.17444444444444446, 0.17444444444444446, 0.17444444444444446, 0.17444444444444446, 0.17444444444444446, 0.17444444444444446]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018804101273417473, 0.04968912503682077, 0.09949304099427536, 0.14834045799216256, 0.197099499986507, 0.24621358298463747, 0.295899290998932, 0.34555929101770744, 0.3952114580315538, 0.445001374988351, 0.49497150001116097, 0.5441975829889998, 0.5938734160154127, 0.647733791032806, 0.6973671659943648, 0.7470589579897933, 0.7963437500293367, 0.8458395000197925, 0.8949414580129087, 0.9442460410064086, 0.9939504159847274, 1.0441162079805508, 1.0937002080027014, 1.1440685410052538, 1.193891957984306, 1.2429462909931317, 1.2926985410158522, 1.3429909580154344, 1.3930530410143547, 1.443630583002232, 1.4933980000205338, 1.5431079160189256, 1.5938276660162956, 1.643420625012368, 1.693772250029724, 1.743734374991618, 1.7942268750048243, 1.845787875005044, 1.8997335000312887, 1.9502745409845375, 2.0001685000024736]",69.43197062500985,,,,,,,,221349,001,2024-02-01_08h25.41.313,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.77546379098203,,,,,,221349,001,2024-02-01_08h25.41.313,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221349,001,2024-02-01_08h25.41.313,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221349,001,2024-02-01_08h25.41.313,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017217874992638826,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.043333333333333335, -0.11888888888888889, -0.17, -0.18777777777777777, -0.18888888888888888, -0.18888888888888888, -0.18888888888888888, -0.18888888888888888, -0.18888888888888888, -0.21222222222222223, -0.2733333333333333, -0.31444444444444447, -0.3388888888888889, -0.34444444444444444, -0.34444444444444444, -0.34555555555555556, -0.3466666666666667, -0.3477777777777778, -0.3488888888888889, -0.35, -0.35]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03777777777777778, 0.1411111111111111, 0.21777777777777776, 0.2411111111111111, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.25555555555555554, 0.31, 0.3611111111111111, 0.3877777777777778, 0.3933333333333333, 0.3933333333333333, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39666666666666667, 0.3988888888888889, 0.3988888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0002416670322418213, 0.05075366701930761, 0.099293667008169, 0.1480793340015225, 0.19689258403377607, 0.24633445899235085, 0.29544112499570474, 0.3448299170122482, 0.39481925003929064, 0.4443965840036981, 0.4940151250339113, 0.5440837499918416, 0.5936178750125691, 0.642419042007532, 0.6924874589894898, 0.7418396249995567, 0.7916449590120465, 0.8418359170318581, 0.8925250840256922, 0.9432833340251818, 0.9934710839879699, 1.043741375033278, 1.0931790000176989, 1.1433746670372784, 1.193064459017478, 1.243478583986871, 1.2935798750258982, 1.3434363750275224, 1.3931665840209462, 1.4435511670308188]",129.4181099999696,,,72.87289454101119,96.92805070796749,,,,221349,001,2024-02-01_08h25.41.313,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.38952454098035,,,221349,001,2024-02-01_08h25.41.313,WythoffsHumanExp,2023.1.3,None,
