practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,tutorial_games.thisRepN,tutorial_games.thisTrialN,tutorial_games.thisN,tutorial_games.thisIndex,tutorial_turns.thisRepN,tutorial_turns.thisTrialN,tutorial_turns.thisN,tutorial_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,blink_text.started,section_2_text.started,section_3_text.started,euclid_text.started,section_4_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232785,2,2024-02-06_13h40.56.967,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232785,2,2024-02-06_13h40.56.967,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.46789566700318,,,,,,,,,,,,,,,,232785,2,2024-02-06_13h40.56.967,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01696458399965195,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.011111111111111112, -0.07, -0.14333333333333334, -0.22555555555555556, -0.32, -0.3377777777777778, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.015555555555555555, 0.09666666666666666, 0.1711111111111111, 0.23444444444444446, 0.3055555555555556, 0.3244444444444444, 0.32555555555555554, 0.32555555555555554, 0.32555555555555554, 0.32555555555555554, 0.32555555555555554, 0.32555555555555554, 0.32666666666666666, 0.33111111111111113, 0.33444444444444443, 0.33444444444444443]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00048433300253236666, 0.051810292003210634, 0.10177162500622217, 0.15225450000434648, 0.20252145800623111, 0.25306558300508186, 0.3023959170022863, 0.3523639170016395, 0.4024245000036899, 0.4522280830060481, 0.5022114580060588, 0.5516841670032591, 0.6016655830026139, 0.650686458000564, 0.7000397920055548, 0.7490280420024646, 0.7978548330065678, 0.8478530830034288, 0.8976327080017654, 0.9474897500040242, 0.9964556250051828]",183.92090987499978,166.9569168340022,,,,,,,232785,2,2024-02-06_13h40.56.967,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016867291000380646,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01888888888888889, -0.058888888888888886, -0.10333333333333333, -0.14777777777777779, -0.23333333333333334, -0.3233333333333333, -0.3844444444444444, -0.43444444444444447, -0.4411111111111111, -0.4411111111111111, -0.4411111111111111, -0.4411111111111111, -0.4411111111111111, -0.44222222222222224, -0.44666666666666666, -0.44555555555555554, -0.43666666666666665, -0.43333333333333335, -0.43, -0.43]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01888888888888889, 0.08777777777777777, 0.17333333333333334, 0.22, 0.31333333333333335, 0.43, 0.4988888888888889, 0.4988888888888889, 0.49666666666666665, 0.49666666666666665, 0.49666666666666665, 0.49666666666666665, 0.49333333333333335, 0.4622222222222222, 0.4288888888888889, 0.4166666666666667, 0.4022222222222222, 0.39444444444444443, 0.3877777777777778, 0.3877777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018216600437881425, 0.049940707998757716, 0.09861941599956481, 0.14709166600368917, 0.19530508300522342, 0.24369000000297092, 0.2924042080048821, 0.3409815830018488, 0.3894186250036, 0.43830941600026563, 0.48744175000319956, 0.5374703750057961, 0.5879610410047462, 0.638804665999487, 0.6887770000030287, 0.7389353750040755, 0.7890045000021928, 0.8388676250033313, 0.8894472500032862, 0.9393932080056402, 0.9885416660035844, 1.037596708003548, 1.086616625005263, 1.136442375005572, 1.1863576250034384, 1.2367996660032077, 1.2870252080028877, 1.3362813330022618, 1.3856613329990068, 1.4348955410023336, 1.4848234579985728, 1.5340174580051098]",202.72546129200055,,,,,,,,232785,2,2024-02-06_13h40.56.967,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232785,2,2024-02-06_13h40.56.967,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232785,2,2024-02-06_13h40.56.967,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.3957662920002,,,,,,232785,2,2024-02-06_13h40.56.967,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0169798329952755,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.0044444444444444444, -0.035555555555555556, -0.06222222222222222, -0.09555555555555556, -0.15555555555555556, -0.1988888888888889, -0.2733333333333333, -0.34444444444444444, -0.35444444444444445, -0.35444444444444445, -0.35777777777777775, -0.36444444444444446, -0.37222222222222223, -0.38333333333333336, -0.3933333333333333, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667, -0.39666666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0044444444444444444, 0.03888888888888889, 0.06222222222222222, 0.08888888888888889, 0.13666666666666666, 0.15555555555555556, 0.19444444444444445, 0.28888888888888886, 0.3566666666666667, 0.3688888888888889, 0.3688888888888889, 0.36777777777777776, 0.37, 0.37777777777777777, 0.3877777777777778, 0.3933333333333333, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00019708299805643037, 0.05061129199748393, 0.10021899999992456, 0.14941733299929183, 0.19872966699767858, 0.24824749999970663, 0.2972985829983372, 0.34691895799915073, 0.3963067919976311, 0.4461564579978585, 0.49557049999566516, 0.5449289579992183, 0.594286874998943, 0.6436084999950253, 0.6932211669991375, 0.7434599170010188, 0.7932969579997007, 0.8435657079971861, 0.8933492500000284, 0.9432698329983396, 0.9925597080000443, 1.0419261249990086, 1.0911819999964791, 1.1406132080010138, 1.1901230000003125, 1.2394532079997589, 1.28955304199917, 1.338295041998208, 1.3870879579990287, 1.4356110000007902, 1.4843312079974567, 1.5330346670016297, 1.581916832998104, 1.6306818750017555, 1.679591416999756, 1.7292168749991106, 1.777783958001237, 1.827127707998443, 1.8765250419965014]",296.3878457500032,,,222.8943825000024,252.89658566700382,298.0045409170052,,,232785,2,2024-02-06_13h40.56.967,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232785,2,2024-02-06_13h40.56.967,WythoffsHumanExp,2023.1.3,None,
