games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,13.452383458999975,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,24.141353625000193,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,43.242367291999926,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,66.40970162500025,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,2,0,2,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,87.86502029200028,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,,,,,,100.25288995900019,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,0,0,0,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,1,0,1,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,2,0,2,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,,,,,,135.25385795900002,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,0,0,0,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,1,0,1,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,2,0,2,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,3,0,3,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,,,,,,156.50954600000023,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,0,0,0,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,,,,,,162.14880654200033,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,0,0,0,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,1,0,1,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,,,,,,187.77934920899997,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,0,0,0,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,1,0,1,0,,,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,,,,,,199.04486516700035,,248196,001,2023-10-05_15h25.24.505,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,200.35610325000016,,,,,,,
