games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,269304,001,2023-10-12_13h00.16.165,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,269304,001,2023-10-12_13h00.16.165,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,14.09621225000592,,,,,,,,,,,269304,001,2023-10-12_13h00.16.165,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,[],[],[],[],[],[],,,,,269304,001,2023-10-12_13h00.16.165,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,"[-0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.12444444444444444, -0.18777777777777777, -0.24666666666666667, -0.2733333333333333, -0.27666666666666667, -0.27666666666666667, -0.27666666666666667, -0.27666666666666667, -0.28888888888888886, -0.33111111111111113, -0.36777777777777776, -0.38555555555555554, -0.39444444444444443, -0.3977777777777778, -0.3977777777777778]","[0.2733333333333333, 0.2733333333333333, 0.2733333333333333, 0.2733333333333333, 0.2733333333333333, 0.2733333333333333, 0.2733333333333333, 0.2733333333333333, 0.2733333333333333, 0.2733333333333333, 0.2733333333333333, 0.2733333333333333, 0.2688888888888889, 0.27111111111111114, 0.28, 0.2811111111111111, 0.2811111111111111, 0.2811111111111111, 0.2811111111111111, 0.2833333333333333, 0.3111111111111111, 0.3488888888888889, 0.37444444444444447, 0.3844444444444444, 0.3877777777777778, 0.3877777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017029100854415447, 0.04908475000411272, 0.09773858300468419, 0.14638579099846538, 0.1951508750062203, 0.24382420800975524, 0.2927480830112472, 0.342138916006661, 0.39127074999851175, 0.43991612500394695, 0.4896943750063656, 0.5397519580001244, 0.5893465410044882, 0.639823666002485, 0.6903797910053981, 0.7410369160061236, 0.7900798330083489, 0.8395374160027131, 0.8891770830086898, 0.9389168750058161, 0.9889533329987898, 1.038989708002191, 1.0888690830033738, 1.1384039580007084, 1.1883765000093263, 1.2378093330044067]",0.03438920898770448,,,,269304,001,2023-10-12_13h00.16.165,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,23.795743083013804,,,269304,001,2023-10-12_13h00.16.165,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,"[-0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333, -0.4033333333333333]","[0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003927500074496493, 0.04945050000969786, 0.09845941700041294, 0.1479799580120016, 0.19722645801084582, 0.24700441700406373, 0.2969165829999838, 0.3464212079998106, 0.39567545799945947, 0.4447353750001639, 0.49460183300834615, 0.5446177500125486]",0.045394749991828576,,,,269304,001,2023-10-12_13h00.16.165,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,30.65311737501179,,,269304,001,2023-10-12_13h00.16.165,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,31.467556208008318,,269304,001,2023-10-12_13h00.16.165,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,269304,001,2023-10-12_13h00.16.165,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,32.17657087500265,269304,001,2023-10-12_13h00.16.165,WythoffsHumanExp,2023.1.3,None,
