practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,imagine_text.started,section_2_text.started,section_3_text.started,section_4_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2024-01-09_15h34.41.410,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2024-01-09_15h34.41.410,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.209049000011873,,,,,,,,,,,,,,,2,0,2024-01-09_15h34.41.410,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000578042003326118,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0033333333333333335, -0.05, -0.12444444444444444, -0.1988888888888889, -0.2577777777777778, -0.30333333333333334, -0.3422222222222222, -0.3688888888888889, -0.3877777777777778, -0.3977777777777778, -0.4, -0.4022222222222222, -0.4033333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034444444444444444, 0.09, 0.15555555555555556, 0.22444444444444445, 0.2788888888888889, 0.3211111111111111, 0.3511111111111111, 0.3711111111111111, 0.3811111111111111, 0.38666666666666666, 0.39222222222222225, 0.39555555555555555]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017258299340028316, 0.04906108300201595, 0.09652379200269934, 0.1441675829992164, 0.19197437500406522, 0.23953566700220108, 0.2870514169917442, 0.33468050000374205, 0.38213245799124707, 0.4297510420001345, 0.47817370799020864, 0.5265218330023345, 0.5747351669997443, 0.6235597920021974, 0.6721239170001354, 0.7205152499955148, 0.7694392499979585, 0.8186279999936232, 0.8673276250046911, 0.9160456669924315, 0.9650225829973351, 1.0141497080039699, 1.0626938329951372, 1.1108725829981267, 1.159158957991167]",59.99857166700531,50.99159675001283,,,,,,2,0,2024-01-09_15h34.41.410,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04558466700837016,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.044444444444444446, -0.16555555555555557, -0.2922222222222222, -0.3466666666666667, -0.37777777777777777, -0.3933333333333333, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.4011111111111111, -0.4022222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022222222222222223, 0.09222222222222222, 0.17333333333333334, 0.22666666666666666, 0.2644444444444444, 0.2866666666666667, 0.3011111111111111, 0.30777777777777776, 0.31444444444444447, 0.3211111111111111, 0.3288888888888889, 0.33444444444444443, 0.33555555555555555]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018312499742023647, 0.047819665996939875, 0.09550974999729078, 0.14312541599792894, 0.19056220799393486, 0.23800162499537691, 0.285464165994199, 0.3329349999985425, 0.3803731660009362, 0.42765220800356474, 0.475257165991934, 0.5233615000033751, 0.5714816249965224, 0.6201299999956973, 0.6687824160035234, 0.7170730409998214, 0.7655226249917177, 0.8140456249966519, 0.8625769579957705, 0.9110299579915591, 0.9594333330023801, 1.0078933329932624, 1.0573439159925329, 1.105505625004298]",69.52074695800547,,,,,,,2,0,2024-01-09_15h34.41.410,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2024-01-09_15h34.41.410,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.22567345800053,,,,,2,0,2024-01-09_15h34.41.410,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0.0005500419938471168,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0077777777777777776, -0.06888888888888889, -0.16666666666666666, -0.22, -0.23333333333333334, -0.23444444444444446, -0.23444444444444446, -0.23444444444444446, -0.23444444444444446, -0.23444444444444446, -0.27, -0.3322222222222222, -0.37666666666666665, -0.39666666666666667, -0.4033333333333333, -0.40444444444444444, -0.40444444444444444, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40444444444444444, -0.40444444444444444]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, -0.0011111111111111111, 0.0044444444444444444, 0.025555555555555557, 0.04111111111111111, 0.04555555555555556, 0.04555555555555556, 0.04555555555555556, 0.04555555555555556, 0.04555555555555556, 0.04555555555555556, 0.044444444444444446, 0.04555555555555556, 0.04888888888888889, 0.04888888888888889, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778, 0.04777777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018895800167229027, 0.04938466699968558, 0.0974663750093896, 0.14577466700575314, 0.1936644579982385, 0.2419024580012774, 0.28985687500971835, 0.337828375006211, 0.38573237499804236, 0.4337508330063429, 0.4814717920089606, 0.5295873750001192, 0.5775534170097671, 0.6255059170071036, 0.6734028750070138, 0.7219134580082027, 0.7705414580123033, 0.8187772920064162, 0.8669838750065537, 0.9149240000115242, 0.963496791999205, 1.011486542003695, 1.059550958001637, 1.10750112500682, 1.1555671250098385, 1.203471291999449, 1.2516021250048652, 1.2997570830048062, 1.3482627920020605, 1.396353292002459, 1.4445863750006538, 1.4927392079989659, 1.5406667080096668, 1.5883623330009868, 1.6367148749995977, 1.6854378749994794, 1.7337730420113076, 1.7819971670105588, 1.8298638749984093, 1.8778280830010772, 1.9254894170007901, 1.9733934579999186, 2.0214437920076307, 2.069551667009364, 2.1172178749984596, 2.1653255420096684, 2.213020042006974, 2.261110625011497, 2.3088276670023333, 2.356630624999525, 2.404552332998719, 2.4522305830032565, 2.499825167004019, 2.547222207998857, 2.5947842080058763, 2.6423896250053076, 2.6896676250034943, 2.7370140420098323, 2.7842787920089904, 2.831762500005425, 2.880183625005884, 2.9281633330101613, 2.97613175000879, 3.024083333002636, 3.071956042011152, 3.1198992499994347, 3.167858750006417, 3.2154708330053836, 3.2634339170035673, 3.311354208010016, 3.3595454580063233, 3.407970000000205, 3.457182083002408, 3.5058294580085203, 3.555286625007284, 3.604478207998909, 3.65259275000426, 3.7006561669986695, 3.7483585830050288, 3.796240249997936, 3.844606416998431, 3.8931636250054, 3.941729167010635, 3.990730542005622, 4.039327375008725, 4.088454791999538, 4.137057542000548, 4.1856153330008965, 4.233925749998889, 4.2822644999978365, 4.3302600830065785, 4.3784132080036215, 4.426567957998486, 4.4745276250032475, 4.522331625004881, 4.570604792010272, 4.619077250012197, 4.667895167003735, 4.716477000009036]",130.98245229200984,,,73.75969954200264,91.60953850000806,112.176164583012,,2,0,2024-01-09_15h34.41.410,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,0.0005932909989496693,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03333333333333333, 0.08777777777777777, 0.10888888888888888, 0.1111111111111111, 0.11222222222222222, 0.11222222222222222, 0.11222222222222222, 0.11222222222222222, 0.08333333333333333, -0.06222222222222222, -0.18222222222222223, -0.23, -0.24333333333333335, -0.24333333333333335, -0.24333333333333335, -0.24333333333333335, -0.24555555555555555, -0.26555555555555554, -0.3111111111111111, -0.3433333333333333, -0.36, -0.37, -0.38, -0.3888888888888889, -0.39666666666666667, -0.4033333333333333, -0.4077777777777778, -0.4088888888888889, -0.4088888888888889]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05555555555555555, 0.14555555555555555, 0.18555555555555556, 0.19, 0.19, 0.19, 0.19, 0.19, 0.19666666666666666, 0.23222222222222222, 0.27444444444444444, 0.29777777777777775, 0.3022222222222222, 0.3022222222222222, 0.3022222222222222, 0.3022222222222222, 0.3022222222222222, 0.31, 0.33555555555555555, 0.35444444444444445, 0.36666666666666664, 0.37333333333333335, 0.3811111111111111, 0.39, 0.39666666666666667, 0.4022222222222222, 0.40555555555555556, 0.4066666666666667, 0.4066666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00020029199367854744, 0.04920158399909269, 0.0970491670013871, 0.14497662500070874, 0.1928677089890698, 0.24089216699940152, 0.28891545899386983, 0.3369318339973688, 0.38485204199969303, 0.4332557089946931, 0.4818408749997616, 0.5303307089925511, 0.578831041988451, 0.6277387089940021, 0.6758609999960754, 0.7241021669906331, 0.7719726669893134, 0.8205491669941694, 0.8690184589941055, 0.9176565840025432, 0.9663801669958048, 1.0148863749927841, 1.0630049589963164, 1.1110994999908144, 1.158841416996438, 1.2069412499986356, 1.2562598749937024, 1.3052958339976612, 1.3540027089911746, 1.4026226249989122, 1.4511121669929707, 1.4997283749980852, 1.548075708997203, 1.5964440839888994, 1.6453753749956377, 1.693520291999448, 1.7425099589891033, 1.7913217500026803, 1.8394961669982877]",170.8396235830005,,,,,,,2,0,2024-01-09_15h34.41.410,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.5727985830017,2,0,2024-01-09_15h34.41.410,WythoffsHumanExp,2023.1.3,None,
