practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,blink_text.started,section_2_text.started,section_3_text.started,euclid_text.started,section_4_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2024-01-22_09h01.29.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2024-01-22_09h01.29.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.26401750004152,,,,,,,,,,,,,,,,2,2,2024-01-22_09h01.29.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03444791701622307,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.005555555555555556, -0.12777777777777777, -0.3288888888888889, -0.39555555555555555, -0.40444444444444444, -0.40444444444444444, -0.40444444444444444, -0.40444444444444444, -0.4222222222222222, -0.4411111111111111, -0.4488888888888889, -0.4477777777777778, -0.4388888888888889, -0.43444444444444447, -0.4311111111111111, -0.42444444444444446, -0.4222222222222222, -0.42, -0.4166666666666667, -0.4166666666666667, -0.4166666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008888888888888889, 0.19111111111111112, 0.44555555555555554, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4988888888888889, 0.4911111111111111, 0.4866666666666667, 0.48, 0.4577777777777778, 0.45111111111111113, 0.44666666666666666, 0.43666666666666665, 0.4311111111111111, 0.42444444444444446, 0.4166666666666667, 0.4166666666666667, 0.4166666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018866604659706354, 0.04846783302491531, 0.09621537500061095, 0.14456683304160833, 0.19292137504089624, 0.24170270800823346, 0.2904318750370294, 0.33953783300239593, 0.38848325004801154, 0.43764008302241564, 0.4867684580385685, 0.535575250047259, 0.5834900000481866, 0.6313605000032112, 0.6796479580225423, 0.7287261660094373, 0.7775961250299588, 0.8268858329975046, 0.8759854580275714, 0.925203541002702, 0.9740539580234326, 1.02309445803985, 1.0717790000489913, 1.1205825000070035, 1.1695152500178665, 1.2187425830052234, 1.2673087500152178, 1.3159552910365164, 1.3650737080024555]",249.95600279100472,241.21104108303552,,,,,,,2,2,2024-01-22_09h01.29.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006326669827103615,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.005555555555555556, -0.035555555555555556, -0.24333333333333335, -0.34, -0.35, -0.35, -0.35, -0.35, -0.35, -0.3477777777777778, -0.3277777777777778, -0.3088888888888889, -0.29888888888888887, -0.29555555555555557, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.2922222222222222, -0.2922222222222222, -0.2922222222222222, -0.2911111111111111, -0.2911111111111111, -0.2911111111111111, -0.2911111111111111, -0.2911111111111111, -0.2911111111111111, -0.2911111111111111, -0.2911111111111111, -0.2911111111111111, -0.2911111111111111, -0.29333333333333333, -0.29555555555555557, -0.29555555555555557, -0.29, -0.2833333333333333, -0.2833333333333333, -0.2866666666666667, -0.2866666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033333333333333335, 0.035555555555555556, 0.31222222222222223, 0.48444444444444446, 0.5, 0.5, 0.5, 0.5, 0.5, 0.48, 0.4411111111111111, 0.4077777777777778, 0.3877777777777778, 0.37777777777777777, 0.37444444444444447, 0.37333333333333335, 0.37, 0.36777777777777776, 0.3655555555555556, 0.36333333333333334, 0.3611111111111111, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.3622222222222222, 0.36444444444444446, 0.3655555555555556, 0.37, 0.38, 0.39, 0.41444444444444445, 0.41444444444444445]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001807080116122961, 0.04932041699066758, 0.09746441699098796, 0.14557070803130046, 0.19349008303834125, 0.24135787499835715, 0.28986825002357364, 0.3382845830055885, 0.3861207500449382, 0.4347698329947889, 0.4828629170078784, 0.5312103329924867, 0.579075375047978, 0.6267834170139395, 0.6742602920276113, 0.7219301250297576, 0.7696810420020483, 0.8174885830376297, 0.8652324170107022, 0.912971792044118, 0.9606636670068838, 1.0086427080095746, 1.057003292022273, 1.1053960000281222, 1.1541317499941215, 1.2032368330401368, 1.2519588750437833, 1.3004838330089115, 1.348925833008252, 1.3971480000182055, 1.4450917080393992, 1.493731333001051, 1.5427752500399947, 1.5919815420056693, 1.6404943750239909, 1.689128125028219, 1.737845958035905, 1.7864642920321785, 1.8351061250432394, 1.8842676670174114, 1.933330667030532, 1.9818068750319071, 2.030785167007707, 2.0795735419960693, 2.128004458034411, 2.176367583044339, 2.224599750014022, 2.2729818749940023, 2.321445500012487, 2.369771249999758, 2.418357167043723, 2.466587000002619, 2.514889458019752, 2.563690083043184, 2.612412750022486, 2.6608360420214012, 2.7091731670079753, 2.7576143750338815, 2.8067080420441926, 2.8553620830061845, 2.9041105000069365, 2.9523316670092754]",268.6193354160059,,,,,,,,2,2,2024-01-22_09h01.29.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005749580450356007,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04555555555555556, -0.11222222222222222, -0.16444444444444445, -0.16444444444444445, -0.16444444444444445, -0.16444444444444445, -0.16444444444444445, -0.2388888888888889, -0.3988888888888889, -0.4288888888888889, -0.42777777777777776, -0.4266666666666667, -0.43, -0.4311111111111111, -0.4288888888888889, -0.4288888888888889]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04777777777777778, 0.09111111111111111, 0.1988888888888889, 0.1988888888888889, 0.1988888888888889, 0.1988888888888889, 0.1988888888888889, 0.2544444444444444, 0.39444444444444443, 0.41888888888888887, 0.41555555555555557, 0.4088888888888889, 0.4066666666666667, 0.4066666666666667, 0.4077777777777778, 0.4077777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018545897910371423, 0.04909758397843689, 0.09730124997440726, 0.14634887501597404, 0.19534579198807478, 0.2542445000144653, 0.3037445420050062, 0.353069584001787, 0.40216383402002975, 0.4502728339866735, 0.49830575002124533, 0.5463444589986466, 0.5952085420140065, 0.6446495419950224, 0.6938607090269215, 0.7423811670159921, 0.7908465000218712, 0.8397328340215608, 0.8888591669965535, 0.93734195898287, 0.9862818340188824, 1.0349189169937745]",281.3466606250149,,,,,,,,2,2,2024-01-22_09h01.29.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005731660057790577,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.017777777777777778, -0.1688888888888889, -0.3088888888888889, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34555555555555556, -0.34, -0.33444444444444443, -0.33111111111111113, -0.3288888888888889, -0.32666666666666666, -0.3244444444444444, -0.3233333333333333, -0.3211111111111111, -0.31777777777777777, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.31666666666666665, -0.32, -0.32666666666666666, -0.33111111111111113, -0.3322222222222222, -0.3322222222222222, -0.3322222222222222, -0.3322222222222222, -0.3322222222222222, -0.3322222222222222, -0.3322222222222222, -0.3322222222222222, -0.3322222222222222, -0.33111111111111113, -0.33111111111111113, -0.33111111111111113, -0.33666666666666667, -0.3388888888888889, -0.3388888888888889]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.1511111111111111, 0.36444444444444446, 0.45666666666666667, 0.45666666666666667, 0.45666666666666667, 0.45666666666666667, 0.45666666666666667, 0.45666666666666667, 0.45111111111111113, 0.43222222222222223, 0.3977777777777778, 0.37222222222222223, 0.3566666666666667, 0.3511111111111111, 0.3466666666666667, 0.34444444444444444, 0.3388888888888889, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.33444444444444443, 0.35, 0.37333333333333335, 0.3988888888888889, 0.41, 0.4122222222222222, 0.4122222222222222, 0.4122222222222222, 0.40555555555555556, 0.4011111111111111, 0.4, 0.4, 0.40555555555555556, 0.4066666666666667, 0.3977777777777778, 0.3788888888888889, 0.36444444444444446, 0.3566666666666667, 0.3511111111111111, 0.3511111111111111, 0.3511111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018400000408291817, 0.04999495903030038, 0.09828270901925862, 0.14644812501501292, 0.19428575003985316, 0.24257533403579146, 0.29072212503524497, 0.33877425000537187, 0.3867775420076214, 0.435121042013634, 0.4841459169983864, 0.53399912500754, 0.5831714590312913, 0.6327863750047982, 0.6817077500163577, 0.7299180420232005, 0.7781040419940837, 0.8264840000192635, 0.8746709590195678, 0.9234438340063207, 0.9721935000270605, 1.0204916250077076, 1.0720335000078194, 1.121592250012327, 1.171022750029806, 1.2235267499927431, 1.275948167021852, 1.3272602920187637, 1.3765261250082403, 1.4257140420377254, 1.4741175420349464, 1.5225032920134254, 1.570494375017006, 1.618447125016246, 1.6668153750360943, 1.7153719590278342, 1.7645707090268843, 1.8145522919949144, 1.8642672920250334, 1.914039833995048, 1.963438667007722, 2.012270584004, 2.0605831670109183, 2.109262292040512, 2.1584860419970937, 2.2078930840361863, 2.256463708996307, 2.305686292005703, 2.3547444590367377, 2.4035654999897815, 2.4532627090229653, 2.5033880840055645, 2.5525986250140704, 2.602257083985023, 2.6519335840130225, 2.701360792038031, 2.750306500005536]",310.68980591598665,,,,,,,,2,2,2024-01-22_09h01.29.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005610000225715339,"[-0.5011111111111111, -0.5011111111111111, -0.5011111111111111, -0.5011111111111111, 0.0, 0.0, -0.028888888888888888, -0.15555555555555556, -0.17666666666666667, -0.17666666666666667, -0.17666666666666667, -0.17666666666666667, -0.19333333333333333, -0.31444444444444447, -0.3888888888888889, -0.3888888888888889, -0.3888888888888889, -0.3888888888888889, -0.3888888888888889, -0.39222222222222225, -0.4022222222222222, -0.41, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111]","[0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.043333333333333335, 0.052222222222222225, 0.052222222222222225, 0.052222222222222225, 0.052222222222222225, 0.052222222222222225, 0.07333333333333333, 0.28, 0.5, 0.5, 0.5, 0.5, 0.5, 0.48777777777777775, 0.4677777777777778, 0.45555555555555555, 0.4388888888888889, 0.4288888888888889, 0.4266666666666667, 0.4266666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018770800670608878, 0.04946125001879409, 0.09805508301360533, 0.14658087503630668, 0.19538062502397224, 0.24423825001576915, 0.2929597499896772, 0.3420309160137549, 0.3907950409920886, 0.4387960000312887, 0.4872016250155866, 0.5351947910385206, 0.5834573330357671, 0.6322060410166159, 0.680556791019626, 0.7283299579867162, 0.7761547500267625, 0.8368649160256609, 0.8861203329870477, 0.9350997500005178, 0.9843289999989793, 1.0333976250258274, 1.0825262910220772, 1.1317066249903291, 1.1816929579945281, 1.2295452500111423]",326.9643641249859,,,,,,,,2,2,2024-01-22_09h01.29.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005967909819446504,"[-0.46, -0.46, -0.46, -0.46, 0.0, 0.0, -0.17444444444444446, -0.30333333333333334, -0.31, -0.21444444444444444, -0.21444444444444444, -0.21444444444444444, -0.21444444444444444, -0.2588888888888889, -0.33666666666666667, -0.3877777777777778, -0.3977777777777778, -0.3977777777777778, -0.4033333333333333, -0.4077777777777778, -0.41]","[0.5, 0.5, 0.5, 0.5, 0.0, 0.0, -0.021111111111111112, 0.024444444444444446, 0.34555555555555556, 0.5, 0.5, 0.5, 0.5, 0.48777777777777775, 0.45666666666666667, 0.43444444444444447, 0.4311111111111111, 0.42777777777777776, 0.41333333333333333, 0.40555555555555556, 0.40555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00019158399663865566, 0.04980954196071252, 0.09796099999221042, 0.14672483399044722, 0.19544154196046293, 0.24483737495029345, 0.2943803749512881, 0.34360570897115394, 0.3927379999659024, 0.44162429199786857, 0.49050029198406264, 0.5393115420010872, 0.5878487500012852, 0.6369552089599892, 0.6861937499488704, 0.7349773749592714, 0.7838577919756062, 0.8330935419653542, 0.8826918749837205, 0.9324151249602437, 0.9812365839607082]",339.8774251250434,,,,,,,,2,2,2024-01-22_09h01.29.626,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005598749849013984,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.012222222222222223, -0.13444444444444445, -0.4855555555555556, -0.6011111111111112, -0.6066666666666667, -0.6066666666666667, -0.6066666666666667, -0.5988888888888889, -0.5377777777777778, -0.48, -0.4288888888888889, -0.4066666666666667, -0.3988888888888889, -0.39, -0.3811111111111111, -0.38333333333333336, -0.3988888888888889, -0.4122222222222222, -0.41555555555555557]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058888888888888886, 0.41888888888888887, 0.5, 0.5, 0.5, 0.4988888888888889, 0.4666666666666667, 0.4033333333333333, 0.3711111111111111, 0.37, 0.36777777777777776, 0.36666666666666664, 0.37333333333333335, 0.38222222222222224, 0.3933333333333333, 0.39666666666666667, 0.4022222222222222, 0.4111111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00019049999536946416, 0.049221540975850075, 0.09724533295957372, 0.14552104094764218, 0.19414183299522847, 0.24267066596075892, 0.2913239999907091, 0.33924766595009714, 0.38797795795835555, 0.43662954098545015, 0.48530341597506776, 0.5340965829673223, 0.5829249160015024, 0.631442874961067, 0.6799380409647711, 0.7289042909978889, 0.7775841659749858, 0.826953332987614, 0.8759092079708353, 0.9249924999894574, 0.9735886249691248, 1.0225253329845145, 1.0713652499835007, 1.120373749989085, 1.1691117079462856, 1.2181037909467705, 1.267382624966558, 1.3162561249919236]",349.6472247079946,,,,,,,,2,2,2024-01-22_09h01.29.626,WythoffsHumanExp,2023.1.3,None,
