games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,imagine_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306149,000,2023-10-24_15h48.44.101,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306149,000,2023-10-24_15h48.44.101,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,16.81388275000006,,,,,,,,,,,,306149,000,2023-10-24_15h48.44.101,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.03407570799993209,"[-0.16777777777777778, -0.16777777777777778, -0.16777777777777778, -0.16777777777777778]","[0.4, 0.4, 0.4, 0.4]","[0, 0, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.000408208000067134, 0.04952595800000381, 0.09844687500003602, 0.147174208000024]",24.999982000000045,,,,306149,000,2023-10-24_15h48.44.101,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0.018416000000001986,"[-0.41555555555555557, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557]","[0.3988888888888889, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889, 0.3988888888888889]","[0, 0, 0, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0001705830001128561, 0.049346625000112, 0.09801420800010874, 0.1472746660000439, 0.19563441600007536]",49.19392025000002,,,,306149,000,2023-10-24_15h48.44.101,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306149,000,2023-10-24_15h48.44.101,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.237899166000034,,,306149,000,2023-10-24_15h48.44.101,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.42434700000001,,306149,000,2023-10-24_15h48.44.101,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.575151,306149,000,2023-10-24_15h48.44.101,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,0.03366649999998117,"[-0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35, -0.35333333333333333, -0.39, -0.45666666666666667, -0.4777777777777778, -0.4777777777777778, -0.47444444444444445, -0.4666666666666667, -0.45444444444444443, -0.44222222222222224, -0.4388888888888889, -0.43666666666666665, -0.4311111111111111, -0.42444444444444446, -0.4222222222222222, -0.4222222222222222]","[0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.28888888888888886, 0.29444444444444445, 0.3233333333333333, 0.38, 0.4011111111111111, 0.4022222222222222, 0.4022222222222222, 0.40444444444444444, 0.40555555555555556, 0.4077777777777778, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.4088888888888889, 0.41, 0.41]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017970799990507658, 0.048539832999949795, 0.09632987500003765, 0.14396116700004313, 0.19211304200007362, 0.24057175000007192, 0.2882838329999231, 0.33622079199994914, 0.3839842919999228, 0.43159795800011125, 0.47916316700002426, 0.5277322080000886, 0.5751414579999619, 0.622808207999924, 0.6709244999999555, 0.7187342499998977, 0.7665172080000957, 0.8147459580000032, 0.862799042000006, 0.9106301669999084, 0.9587251250000008, 1.0066074999999728, 1.0545085829999152, 1.1029920420000963, 1.1516522080000868, 1.2002315830000043, 1.2499397080000563, 1.2991223750000245, 1.3471926249999342, 1.395548958000063, 1.4432304580000164, 1.491035833000069, 1.5391293749999022, 1.586930250000023, 1.6349120419999963, 1.6829859580000175, 1.7312128329999723, 1.778975791999983, 1.8269878329999756, 1.8750551250000171, 1.923207457999979, 1.971212666999918, 2.0194020829999317, 2.0668715829999655, 2.1151574170000913, 2.1635542920000717, 2.2120331670000724, 2.2599291670001094, 2.307908750000024, 2.355745332999959, 2.4037229580001167, 2.452358208000078, 2.5008017079999263, 2.549314249999952, 2.5975954999998976, 2.645644250000032, 2.6935375830000794, 2.740932333000046, 2.7886290829999325, 2.837204917000008, 2.8855437919999076, 2.933850583000094, 2.981691375000082, 3.0296029579999413, 3.077479083000071, 3.125293291999924, 3.173653374999958, 3.222809874999939, 3.2709982080000373, 3.319118916999969, 3.367752249999967, 3.4160565419999784, 3.4641525829999864, 3.5116469580000285, 3.5598130830001082, 3.6077345829999103, 3.656100207999998, 3.7044264169999224, 3.7523129579999477, 3.800543874999903, 3.8487788330000967, 3.8968258330000936, 3.9449515000001156, 3.9926190829999086, 4.040691958000025, 4.089371250000113, 4.137506750000057, 4.185726582999905, 4.234673707999946, 4.282304374999967, 4.330311666999933, 4.378140250000115, 4.425715500000024, 4.4732851670000855, 4.521086292000064, 4.569199292000121, 4.617502542000011, 4.665642749999961, 4.714078582999946, 4.761898541999926, 4.809748207999974, 4.857442292000087, 4.90547841700004, 4.953257166999947, 5.001507541999899, 5.049285000000054, 5.097487416999911, 5.145266624999977, 5.193857333000096, 5.241913374999967, 5.289684291999947, 5.337727500000028, 5.385694416999968, 5.43356304200006, 5.482140832999903, 5.530686625000044, 5.578845208000075, 5.626587707999988, 5.674544167000022, 5.722530958000107, 5.770567374999928, 5.818743833000099, 5.867147417000069, 5.915294500000073, 5.962819374999981, 6.010861875000046, 6.0588619580000795, 6.106674082999916, 6.154670417000034, 6.20298237499992, 6.251988457999914, 6.300283167000089, 6.3479244580000795, 6.395913542000017, 6.444295708000027, 6.492365874999905, 6.5404704580000725, 6.588541458000009, 6.6366827920001015, 6.684034458000042, 6.7327721250001105, 6.78036341699999, 6.828330916999903, 6.875889458000074, 6.923550083000009, 6.971100582999952, 7.018861958000116, 7.067023625000047, 7.114943208000113, 7.1626544170001125, 7.210813458000075, 7.258848292000039, 7.306644457999937, 7.354661708000094, 7.40255137500003, 7.450540916999898, 7.498787042000004, 7.5468794169999, 7.594926708000003, 7.6428413329999785, 7.691137957999899, 7.739887833000012, 7.788224249999985, 7.837621417000037, 7.886343707999913, 7.934552582999913, 7.982528958000103, 8.030717874999937, 8.079474375000018, 8.126993957999957, 8.175453957999935, 8.223197833000086, 8.271639708000066, 8.319861333000063, 8.367774167000107, 8.416222999999945, 8.464124166999909, 8.512386874999947, 8.560814917000016, 8.608981957999958, 8.656891791999897, 8.705024542000046, 8.753381292000086, 8.801555958000108, 8.848633833000122, 8.896467541999982, 8.94472258299993, 8.992301208000072, 9.039813000000095, 9.08784333299991, 9.136142999999947, 9.183849083000041, 9.231845292000116, 9.279991542000062, 9.327805832999957, 9.375195207999923, 9.42273395799998, 9.47027049999997, 9.51767837500006, 9.56565158300009, 9.613599332999911, 9.661824582999998, 9.710107000000107, 9.758396375000075, 9.806356207999897, 9.854799833000015, 9.90290241699995, 9.950518791999912, 9.998941542000011, 10.047126749999961, 10.096056874999931, 10.143910042000016, 10.192325541999935, 10.239933042000075, 10.287935957999935, 10.33553424999991, 10.383230874999981, 10.431373417000032, 10.479340166999918, 10.527550541999972, 10.57568587500009, 10.623647957999992, 10.671723292000024, 10.719703958000082, 10.767717582999921, 10.815601917000095, 10.863221708000083, 10.910641791999979, 10.958317207999926, 11.005865792000122, 11.053701083000078, 11.101946582999972, 11.150350667000112, 11.198524916999986, 11.246260707999909, 11.294436583000106, 11.343130917000053, 11.392156041999897, 11.441093249999994, 11.490285500000027, 11.539085458000045, 11.587422708000076, 11.63580449999995, 11.684423624999908, 11.732942583000067, 11.781679707999956, 11.830350208000027, 11.878499124999962, 11.927395458000092, 11.976259875000096, 12.025760958000092, 12.075267166999993]",357.508706375,,,,,,,,,,
