games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,mouse.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,320230,001,2023-10-12_14h59.35.785,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,320230,001,2023-10-12_14h59.35.785,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,21.2384368750063,,,,,,,,,,,320230,001,2023-10-12_14h59.35.785,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,320230,001,2023-10-12_14h59.35.785,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,27.966431583001395,,,,320230,001,2023-10-12_14h59.35.785,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778]","[0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016979100473690778, 0.04925475000345614, 0.09764900000300258, 0.14543224999215454, 0.19391379099397454, 0.24209704100212548, 0.29017412499524653, 0.33772154100006446, 0.3855897079920396, 0.43390533300407697, 0.48244995799905155, 0.5306218329933472, 0.5811779579962604, 0.6313856250053504, 0.6818382079945877, 0.7316275000048336, 0.7817855829925975, 0.8312097909947624, 0.8799563329957891, 0.928123207995668, 0.9768593750050059, 1.0248739999951795]",,0.040057874997728504,,,320230,001,2023-10-12_14h59.35.785,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,34.51540516600653,,,,320230,001,2023-10-12_14h59.35.785,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,35.912342333002016,,320230,001,2023-10-12_14h59.35.785,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,320230,001,2023-10-12_14h59.35.785,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,36.818128915998386,320230,001,2023-10-12_14h59.35.785,WythoffsHumanExp,2023.1.3,None,
