games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,board_outline.started,box_1.started,text_1.started,arrow.started,box_2.started,text_2.started,left_arrow.started,up_arrow.started,up_left_arrow.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,23.370547000027727,23.370547000027727,23.370547000027727,23.370547000027727,23.370547000027727,23.370547000027727,23.370547000027727,23.370547000027727,23.370547000027727,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,41.19973758299602,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,60.312985708005726,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,,,,,,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,,,,,,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,,,,,,,,,71.89665237499867,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,,,,,,,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,,,,,,,,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,2,0,2,0,,,,,,,,,,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,3,0,3,0,,,,,,,,,,,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,,,,,,,,,93.71548733301461,356031,001,2023-09-27_15h20.50.475,WythoffsHumanExp,2023.1.3,None,
