practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,tutorial_games.thisRepN,tutorial_games.thisTrialN,tutorial_games.thisN,tutorial_games.thisIndex,tutorial_turns.thisRepN,tutorial_turns.thisTrialN,tutorial_turns.thisN,tutorial_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,nim_text.started,section_4_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384785,001,2024-02-03_15h09.26.944,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384785,001,2024-02-03_15h09.26.944,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0822710829998,,,,,,,,,,,,,,,384785,001,2024-02-03_15h09.26.944,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01724020800247672,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.013333333333333334, 0.0022222222222222222, -0.08666666666666667, -0.1322222222222222, -0.1322222222222222, -0.1322222222222222, -0.1322222222222222, -0.13333333333333333, -0.2311111111111111, -0.31777777777777777, -0.36, -0.3688888888888889, -0.3711111111111111, -0.37555555555555553, -0.38, -0.3888888888888889, -0.3977777777777778, -0.4, -0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.006666666666666667, 0.0077777777777777776, 0.09888888888888889, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.2411111111111111, 0.31555555555555553, 0.35, 0.35888888888888887, 0.3622222222222222, 0.36777777777777776, 0.37444444444444447, 0.38555555555555554, 0.39666666666666667, 0.4, 0.4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016991600205074064, 0.04959874999985914, 0.09754283300208044, 0.14507566600150312, 0.19279595800253446, 0.24043945800076472, 0.28811325000060606, 0.33602500000051805, 0.3836020410017227, 0.43113412499951664, 0.47911004100024, 0.5272554160001164, 0.5757182500019553, 0.6242747500000405, 0.672801333003008, 0.7212943330014241, 0.7703713330010942, 0.818637458000012, 0.8662632910018147, 0.9143095830004313, 0.9621720830000413, 1.0110707910025667, 1.060184083002241, 1.109015083002305, 1.157730958002503, 1.2062895830022171, 1.2552412500008359, 1.3039481660016463, 1.3526535830023931, 1.4011130409999168, 1.4498269579999032, 1.4988964580006723, 1.5483396250019723]",188.79492675000074,174.87700120800218,,,,,,384785,001,2024-02-03_15h09.26.944,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016953083999396767,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.023333333333333334, -0.16555555555555557, -0.28555555555555556, -0.33111111111111113, -0.33444444444444443, -0.33444444444444443, -0.33444444444444443, -0.33555555555555555, -0.35777777777777775, -0.38333333333333336, -0.39444444444444443, -0.39555555555555555, -0.39555555555555555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024444444444444446, 0.1711111111111111, 0.2788888888888889, 0.3111111111111111, 0.31444444444444447, 0.31444444444444447, 0.31444444444444447, 0.31444444444444447, 0.3433333333333333, 0.3811111111111111, 0.39444444444444443, 0.39666666666666667, 0.39666666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017433299944968894, 0.04942487500011339, 0.09720020799795748, 0.14467854199756403, 0.19220225000026403, 0.2398378750003758, 0.28763791699748253, 0.3361850000001141, 0.384832625000854, 0.4337515000006533, 0.4828437500000291, 0.5317272499996761, 0.5799205420007638, 0.6280072080007812, 0.6764336249980261, 0.7253471250005532, 0.7738124579991563, 0.8225459579989547, 0.8712071669979196, 0.9202704999988782, 0.9684521249982936]",215.44522762500128,,,,,,,384785,001,2024-02-03_15h09.26.944,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.46511233300043,,,,,384785,001,2024-02-03_15h09.26.944,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384785,001,2024-02-03_15h09.26.944,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384785,001,2024-02-03_15h09.26.944,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01693745899683563,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0033333333333333335, -0.07777777777777778, -0.23444444444444446, -0.31555555555555553, -0.3377777777777778, -0.3422222222222222, -0.3477777777777778, -0.3566666666666667, -0.39111111111111113, -0.4066666666666667, -0.4066666666666667, -0.40444444444444444, -0.4033333333333333, -0.4033333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033333333333333335, 0.1, 0.3244444444444444, 0.4077777777777778, 0.43, 0.43555555555555553, 0.43666666666666665, 0.4288888888888889, 0.3988888888888889, 0.3877777777777778, 0.39111111111111113, 0.3977777777777778, 0.4, 0.4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018324999837204814, 0.049791541998274624, 0.09788666700114845, 0.145558959000482, 0.19325845899948035, 0.24093829200137407, 0.28875520899964613, 0.33723104200180387, 0.38557116700030747, 0.4337852919998113, 0.48247795900169876, 0.5328908750016126, 0.5833269590002601, 0.6339990839987877, 0.6845050000010815, 0.7359217500015802, 0.7872356670013687, 0.8365116669992858, 0.8849743339997076, 0.9338036670014844, 0.9824294169993664]",299.0393747920025,,,218.74530416700145,278.0003537500015,,,384785,001,2024-02-03_15h09.26.944,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.3127808329991,,384785,001,2024-02-03_15h09.26.944,WythoffsHumanExp,2023.1.3,None,
