games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,button_label.started,status_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.575358959031291,,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,56.31012733402895,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,70.37103300000308,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,96.9671206669882,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,114.50732450000942,398119,001,2023-09-26_14h40.06.669,WythoffsHumanExp,2023.1.3,None,
