practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,nim_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442020,001,2024-02-07_12h13.56.847,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442020,001,2024-02-07_12h13.56.847,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.123640999998315,,,,,,,,,,,,,,442020,001,2024-02-07_12h13.56.847,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01707008300581947,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03333333333333333, -0.20444444444444446, -0.37, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111, -0.4033333333333333, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.4077777777777778, -0.41, -0.41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024444444444444446, 0.15222222222222223, 0.2966666666666667, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3433333333333333, 0.3611111111111111, 0.37555555555555553, 0.3811111111111111, 0.39111111111111113, 0.3988888888888889, 0.4011111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017050000315066427, 0.05108762500458397, 0.1006584160058992, 0.15010050000273623, 0.19981541599554475, 0.2495522079989314, 0.2992710830003489, 0.3493567080004141, 0.3991223750053905, 0.4484522080019815, 0.4975085829937598, 0.5466242499969667, 0.5955247079982655, 0.6446448329952545, 0.6933122909977101, 0.7423052079975605, 0.7916717079933733, 0.8403782910027076, 0.8887683749926509, 0.9379130409943173, 0.9870539160037879, 1.0364730409928598, 1.085958166004275, 1.1357603749929694, 1.1851692909986014, 1.2351602910057409, 1.2844459579937393, 1.3348121659946628, 1.3853055409999797, 1.435225833003642, 1.4848498329956783, 1.5354369999986375, 1.5854138750000857, 1.6352647500025341, 1.685036915994715]",67.66463149999618,53.40335824999784,,,,,442020,001,2024-02-07_12h13.56.847,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0526115839893464,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.044444444444444446, -0.15666666666666668, -0.2644444444444444, -0.3277777777777778, -0.3477777777777778, -0.35777777777777775, -0.36444444444444446, -0.37666666666666665, -0.3844444444444444, -0.39, -0.39444444444444443, -0.39444444444444443]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024444444444444446, 0.1, 0.15777777777777777, 0.18222222222222223, 0.19555555555555557, 0.2011111111111111, 0.1988888888888889, 0.19444444444444445, 0.19111111111111112, 0.18666666666666668, 0.18555555555555556, 0.18555555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017854099860414863, 0.04964508301054593, 0.09849525000026915, 0.14741620799759403, 0.1959890410071239, 0.24504837499989662, 0.2936169580061687, 0.34223458300402854, 0.3923438750061905, 0.4414040410047164, 0.49062612499983516, 0.5395935410051607, 0.5882105409982614, 0.6372892500075977, 0.6863936660083709, 0.7353732909978135, 0.7843362080020597, 0.8336413330107462, 0.8825028330029454, 0.9313648329989519, 0.9802721250016475, 1.0289373749983497, 1.0777419579972047, 1.1271979580051266, 1.1762333750084508, 1.2253424160007853, 1.2753707079973537, 1.3262695410085144, 1.3760842500050785, 1.4262606660049642, 1.4755847500055097, 1.5257905830076197, 1.5762649160024012, 1.6259839999984251, 1.6762114160083001, 1.726005582997459, 1.7764149580034427, 1.8271209160011495, 1.8760336249979446]",78.02803737499926,,,,,,442020,001,2024-02-07_12h13.56.847,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.69163487499463,,,,442020,001,2024-02-07_12h13.56.847,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442020,001,2024-02-07_12h13.56.847,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442020,001,2024-02-07_12h13.56.847,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06368758300959598,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07444444444444444, -0.18888888888888888, -0.27555555555555555, -0.3288888888888889, -0.35888888888888887, -0.38, -0.39555555555555555, -0.4088888888888889, -0.41555555555555557, -0.4177777777777778, -0.4177777777777778]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035555555555555556, 0.09777777777777778, 0.13444444444444445, 0.15555555555555556, 0.1688888888888889, 0.18, 0.19111111111111112, 0.20444444444444446, 0.21888888888888888, 0.2288888888888889, 0.2311111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001821670011850074, 0.04940099999657832, 0.09862570899713319, 0.14849895899533294, 0.19810416699328925, 0.24808858400501776, 0.2976124999986496, 0.3481236249936046, 0.3984672920050798, 0.44920520900632255, 0.4996596669952851, 0.5490895419934532, 0.5993327089963714, 0.6497510000044713, 0.6998330839996925, 0.7503187499969499, 0.8001929169986397, 0.8498409169988008, 0.8993877089960733, 0.9498049999965588, 1.0002027089940384]",120.98626195799443,,,79.87071241599915,101.42505416600034,,442020,001,2024-02-07_12h13.56.847,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6517402909958,,,,,,,
