practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451857,001,2023-10-30_16h46.02.251,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451857,001,2023-10-30_16h46.02.251,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.778470625002228,,,,,,,,,,,,,,451857,001,2023-10-30_16h46.02.251,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013378458002989646,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011111111111111112, -0.03777777777777778, -0.07333333333333333, -0.1, -0.11888888888888889, -0.14555555555555555, -0.16555555555555557, -0.18333333333333332, -0.2011111111111111, -0.22111111111111112, -0.24444444444444444, -0.2611111111111111, -0.26666666666666666, -0.2688888888888889, -0.27444444444444444, -0.27555555555555555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015555555555555555, 0.06333333333333334, 0.1388888888888889, 0.20555555555555555, 0.25333333333333335, 0.29333333333333333, 0.3188888888888889, 0.3333333333333333, 0.34555555555555556, 0.3622222222222222, 0.3788888888888889, 0.39111111111111113, 0.39444444444444443, 0.39444444444444443, 0.39444444444444443, 0.39555555555555555]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018729200382949784, 0.048683167005947325, 0.09684404200379504, 0.14511487500567455, 0.1935067500016885, 0.24293354200199246, 0.29137316700507654, 0.34007650000421563, 0.3887837500005844, 0.43746837499929825, 0.4857639170004404, 0.5340050420054467, 0.5822863749999669, 0.6304597500056843, 0.6788376670010621, 0.7283943750007893, 0.7770796250042622, 0.8259947080005077, 0.874016958005086, 0.9222949579998385, 0.9707387920061592, 1.0190550000043004]",42.90299383299862,43.5606399160024,,,,,451857,001,2023-10-30_16h46.02.251,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],50.39523208299943,,,,,,451857,001,2023-10-30_16h46.02.251,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0.0053847090021008626,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.025555555555555557, -0.0811111111111111, -0.13555555555555557, -0.2011111111111111, -0.27555555555555555, -0.3244444444444444, -0.3433333333333333, -0.3622222222222222, -0.38666666666666666, -0.4211111111111111, -0.43444444444444447, -0.43555555555555553, -0.43555555555555553]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015555555555555555, 0.08, 0.1622222222222222, 0.24, 0.3088888888888889, 0.3433333333333333, 0.3566666666666667, 0.37, 0.3877777777777778, 0.41, 0.41888888888888887, 0.42, 0.42]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018762499530566856, 0.04891966599825537, 0.0972751250010333, 0.14566624999861233, 0.19419899999775225, 0.24281970800075214, 0.29238845800136914, 0.3420313329988858, 0.3914127499956521, 0.4409192909952253, 0.4902904580012546, 0.5397624159959378, 0.5890518329979386, 0.6381996249983786, 0.6877317909966223, 0.7366946659967653, 0.7853008749953005, 0.8342003750003641, 0.8829470829950878, 0.9310550410009455]",56.648527500001364,,,,,,451857,001,2023-10-30_16h46.02.251,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.96504000000277,,,,451857,001,2023-10-30_16h46.02.251,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451857,001,2023-10-30_16h46.02.251,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.05506270800106,,,451857,001,2023-10-30_16h46.02.251,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.09915750000073,,451857,001,2023-10-30_16h46.02.251,WythoffsHumanExp,2023.1.3,None,
