games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,543316,001,2023-10-02_12h20.56.424,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,543316,001,2023-10-02_12h20.56.424,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,10.086354583996581,,,543316,001,2023-10-02_12h20.56.424,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,543316,001,2023-10-02_12h20.56.424,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,543316,001,2023-10-02_12h20.56.424,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,19.589495583990356,,543316,001,2023-10-02_12h20.56.424,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,543316,001,2023-10-02_12h20.56.424,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,543316,001,2023-10-02_12h20.56.424,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,543316,001,2023-10-02_12h20.56.424,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,38.068365041996,,543316,001,2023-10-02_12h20.56.424,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,40.96962883399101,543316,001,2023-10-02_12h20.56.424,WythoffsHumanExp,2023.1.3,None,
