practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569949,001,2023-10-30_16h40.05.441,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569949,001,2023-10-30_16h40.05.441,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.5899837920006,,,,,,,,,,,,,569949,001,2023-10-30_16h40.05.441,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037234666000586,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0044444444444444444, -0.03666666666666667, -0.15333333333333332, -0.2611111111111111, -0.3055555555555556, -0.31222222222222223, -0.31222222222222223, -0.31222222222222223, -0.31222222222222223, -0.32666666666666666, -0.35888888888888887, -0.37555555555555553, -0.38333333333333336, -0.39222222222222225, -0.4011111111111111, -0.4022222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01888888888888889, 0.13333333333333333, 0.2811111111111111, 0.35, 0.35777777777777775, 0.35777777777777775, 0.35777777777777775, 0.35777777777777775, 0.36666666666666664, 0.38, 0.38666666666666666, 0.39111111111111113, 0.3977777777777778, 0.4, 0.4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016849999519763514, 0.04854508300195448, 0.09647529199719429, 0.14449087499815505, 0.19241187499574153, 0.24054400000022724, 0.2886919169977773, 0.3370391669959645, 0.38465220799844246, 0.4330324170005042, 0.48157479200017406, 0.5300400420019287, 0.5778217499973834, 0.6255515000011656, 0.6741108749993145, 0.7224258329952136, 0.7703278330009198, 0.8182396249976591, 0.8659488330013119, 0.9136462079986813, 0.9611362919968087, 1.0089630000002217, 1.0569191249960568, 1.1047727499972098, 1.1523235829954501, 1.2000931250004214, 1.2482089580007596, 1.2961919579975074, 1.3441684169956716, 1.3914959169997019, 1.4391223330021603, 1.4870593329978874, 1.5349595829975442, 1.5827192919969093, 1.6302822919969913, 1.6783772919952753, 1.7261523749984917, 1.7738669169993955, 1.8226958329978515, 1.8718944169959286, 1.9213055829968653, 1.969592499997816, 2.0182290419979836, 2.067092457997205, 2.114976500000921, 2.1630625420002616, 2.2111168330011424, 2.2596552920003887, 2.309030416996393, 2.3578913749952335, 2.4068144999982906, 2.4555787919962313, 2.5045483329959097, 2.5540186669968534, 2.603191666996281]",632.8405537919971,652.7030274999997,,,,569949,001,2023-10-30_16h40.05.441,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.039672375001828186,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04777777777777778, -0.14555555555555555, -0.20444444444444446, -0.21777777777777776, -0.21777777777777776, -0.21777777777777776, -0.21777777777777776, -0.22, -0.2688888888888889, -0.3422222222222222, -0.3711111111111111, -0.3811111111111111, -0.38555555555555554, -0.3933333333333333, -0.4022222222222222, -0.4077777777777778, -0.41, -0.41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.043333333333333335, 0.15666666666666668, 0.23333333333333334, 0.24666666666666667, 0.24666666666666667, 0.24666666666666667, 0.24666666666666667, 0.2477777777777778, 0.2722222222222222, 0.31777777777777777, 0.3377777777777778, 0.3488888888888889, 0.3566666666666667, 0.3688888888888889, 0.38222222222222224, 0.3933333333333333, 0.3977777777777778, 0.3977777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017320800543529913, 0.048578250003629364, 0.09645937500317814, 0.14403512500575744, 0.1919442500002333, 0.24000612500094576, 0.288518291003129, 0.3374359580047894, 0.38607716600381536, 0.434969000001729, 0.4831799579988001, 0.53113100000337, 0.578670458002307, 0.6271089580041007, 0.6762923749993206, 0.7254038329992909, 0.7749217910022708, 0.8237911660035024, 0.8726925000009942, 0.9213518750038929, 0.9699886250018608, 1.018758666003123, 1.0676550830030465, 1.1169175000031828, 1.165848290998838]",667.8298607499964,,,,,569949,001,2023-10-30_16h40.05.441,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0.0282922080004937,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03222222222222222, -0.18444444444444444, -0.31555555555555553, -0.3466666666666667, -0.3488888888888889, -0.3488888888888889, -0.3488888888888889, -0.3488888888888889, -0.35333333333333333, -0.3811111111111111, -0.39666666666666667, -0.4, -0.4011111111111111, -0.4022222222222222, -0.4022222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.18222222222222223, 0.32, 0.35888888888888887, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.3611111111111111, 0.36444444444444446, 0.38333333333333336, 0.39222222222222225, 0.39444444444444443, 0.39555555555555555, 0.39666666666666667, 0.39666666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017958299577003345, 0.048662749999493826, 0.09685062499920605, 0.14434120799705852, 0.19270187499932945, 0.24098754099395592, 0.2891910409962293, 0.3379175829977612, 0.386154040999827, 0.43485608299670275, 0.48359695799445035, 0.5326803749994724, 0.5812332079949556, 0.6298690409967094, 0.677942415997677, 0.7261615829993389, 0.7744837499994901, 0.8232216249962221, 0.8723564999963855, 0.9213475829965319, 0.970434082999418, 1.0188809999963269, 1.0673379579966422, 1.1165601659959066, 1.1656537909948383]",711.7075744999966,,,,,569949,001,2023-10-30_16h40.05.441,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.4779194169969,,,569949,001,2023-10-30_16h40.05.441,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569949,001,2023-10-30_16h40.05.441,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.2857033339969,,569949,001,2023-10-30_16h40.05.441,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.3461087920005,569949,001,2023-10-30_16h40.05.441,WythoffsHumanExp,2023.1.3,None,
