games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,recall_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,570352,001,2023-10-16_10h29.28.533,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,570352,001,2023-10-16_10h29.28.533,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,11.713876291993074,,,,,,,,,,,,570352,001,2023-10-16_10h29.28.533,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,0.012182208010926843,"[-0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.20222222222222222, -0.06333333333333334, -0.03222222222222222, -0.04555555555555556, -0.0811111111111111, -0.11777777777777777, -0.14555555555555555, -0.16333333333333333, -0.17555555555555555, -0.17777777777777778, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.17888888888888888, -0.18444444444444444, -0.18888888888888888, -0.18888888888888888, -0.18888888888888888, -0.18777777777777777, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.18666666666666668, -0.20555555555555555, -0.28888888888888886, -0.35444444444444445, -0.3844444444444444, -0.39666666666666667, -0.4066666666666667, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.40555555555555556, -0.39222222222222225, -0.38222222222222224, -0.36666666666666664, -0.3377777777777778, -0.3188888888888889, -0.30777777777777776, -0.3, -0.2966666666666667, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29, -0.2477777777777778, -0.17444444444444446, -0.12555555555555556, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.11777777777777777, -0.12222222222222222, -0.1811111111111111, -0.3011111111111111, -0.3844444444444444, -0.43, -0.4411111111111111, -0.44666666666666666, -0.4533333333333333, -0.45555555555555555, -0.45444444444444443, -0.45, -0.44, -0.4311111111111111, -0.4166666666666667, -0.4022222222222222, -0.38666666666666666, -0.37666666666666665, -0.3711111111111111, -0.36666666666666664, -0.3622222222222222, -0.35777777777777775, -0.35555555555555557, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.35444444444444445, -0.33666666666666667, -0.29, -0.2611111111111111, -0.2511111111111111, -0.25, -0.24888888888888888, -0.24555555555555555, -0.24333333333333335, -0.2411111111111111, -0.2388888888888889, -0.23777777777777778, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23666666666666666, -0.23333333333333334, -0.22111111111111112, -0.20222222222222222, -0.18444444444444444, -0.17777777777777778, -0.17555555555555555, -0.17444444444444446, -0.17444444444444446]","[0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.10555555555555556, 0.18777777777777777, 0.3088888888888889, 0.33666666666666667, 0.34555555555555556, 0.36, 0.36444444444444446, 0.3622222222222222, 0.35555555555555557, 0.3511111111111111, 0.35, 0.35, 0.3522222222222222, 0.3522222222222222, 0.3522222222222222, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333, 0.35, 0.3388888888888889, 0.33, 0.32666666666666666, 0.31777777777777777, 0.30333333333333334, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.3022222222222222, 0.3377777777777778, 0.36777777777777776, 0.38333333333333336, 0.3933333333333333, 0.40555555555555556, 0.4122222222222222, 0.41444444444444445, 0.41444444444444445, 0.39444444444444443, 0.37333333333333335, 0.36333333333333334, 0.3566666666666667, 0.3511111111111111, 0.3477777777777778, 0.3477777777777778, 0.3477777777777778, 0.3477777777777778, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3488888888888889, 0.3477777777777778, 0.34444444444444444, 0.32, 0.2722222222222222, 0.24555555555555555, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.24222222222222223, 0.2722222222222222, 0.3333333333333333, 0.37222222222222223, 0.39, 0.39555555555555555, 0.3988888888888889, 0.4066666666666667, 0.4111111111111111, 0.4122222222222222, 0.4111111111111111, 0.4066666666666667, 0.4011111111111111, 0.39, 0.37333333333333335, 0.3477777777777778, 0.3288888888888889, 0.31222222222222223, 0.3, 0.2922222222222222, 0.28888888888888886, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.28555555555555556, 0.2611111111111111, 0.20777777777777778, 0.17444444444444446, 0.16444444444444445, 0.16333333333333333, 0.15888888888888889, 0.14777777777777779, 0.1411111111111111, 0.13444444444444445, 0.12666666666666668, 0.12333333333333334, 0.12333333333333334, 0.12333333333333334, 0.12333333333333334, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12444444444444444, 0.12222222222222222, 0.10333333333333333, 0.06777777777777778, 0.03222222222222222, 0.0022222222222222222, -0.006666666666666667, -0.01, -0.011111111111111112, -0.011111111111111112]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017441701493225992, 0.04913858399959281, 0.09875387500505894, 0.14834708400303498, 0.1985541670001112, 0.24785891702049412, 0.29684370901668444, 0.3456274170021061, 0.3945016670040786, 0.4433777090162039, 0.49229925000690855, 0.5410386670264415, 0.5905843750224449, 0.6395395840227138, 0.6884772920166142, 0.7377229170233477, 0.7869465420080815, 0.836413667013403, 0.8857302500109654, 0.934873084013816, 0.9841015840065666, 1.0331346669991035, 1.0827344590215944, 1.1327654590131715, 1.183181209024042, 1.2331180420005694, 1.2832862500217743, 1.3331965420220513, 1.3826281250221655, 1.4323209170252085, 1.481762625015108, 1.5312257920159027, 1.5810153339989483, 1.6309116670163348, 1.6810712500009686, 1.7308831670088693, 1.7808307920058724, 1.8307772500265855, 1.880907417013077, 1.9311859170265961, 1.9820380420133006, 2.032019959005993, 2.094101042021066, 2.143566084007034, 2.192976542020915, 2.242751792015042, 2.2927670839999337, 2.342665375006618, 2.391981125023449, 2.441186167008709, 2.4905880840087775, 2.539991875004489, 2.5904809170169756, 2.6394523750059307, 2.6883915420039557, 2.737915208999766, 2.787370000005467, 2.836793334019603, 2.8862758750037756, 2.936136208998505, 2.9852979170100298, 3.034482500021113, 3.0842755420017056, 3.1336255420173984, 3.18277404201217, 3.231842167006107, 3.2810562500089873, 3.3307877920160536, 3.3805587500100955, 3.4307194590219297, 3.4800662500201724, 3.5311377920152154, 3.5825448340037838, 3.634941959026037, 3.687925959005952, 3.739439000026323, 3.790947750007035, 3.8422600839985535, 3.8928709590109065, 3.941821084008552, 3.9905452500097454, 4.03920612501679, 4.098313709022477, 4.148882542009233, 4.199057500023628, 4.249131042015506, 4.300140375009505, 4.3494194590020925, 4.398872209014371, 4.448747292015469, 4.4984683340007905, 4.5490165000082925, 4.598885000013979, 4.648745167010929, 4.698689459008165, 4.748633792012697, 4.798731042013969, 4.84906841701013, 4.898842792026699, 4.948139209009241, 4.997660000022734, 5.047348167019663, 5.0970258340239525, 5.145970917015802, 5.226672792021418, 5.27788354200311, 5.328000292007346, 5.378775500023039, 5.4289396250096615, 5.478703417000361, 5.528702625015285, 5.578666750021512, 5.6287383750022855, 5.678575375000946, 5.728861209005117, 5.778503834008006, 5.8277917920204345, 5.877602084015962, 5.926782459020615, 5.976012416998856, 6.025130042020464, 6.074542459013173, 6.1239853340084665, 6.173866249999264, 6.223136584012536, 6.272623917000601, 6.321745875000488, 6.370780584024033, 6.420450250006979, 6.4701340419996995, 6.519860584026901, 6.569368709024275, 6.618489667016547, 6.667147792002652, 6.716260709014023, 6.765641667007003, 6.814907500025583, 6.86420700000599, 6.913815750012873, 6.963866250007413, 7.012681625026744, 7.06139179202728, 7.110131084016757, 7.159283459011931, 7.207999334001215, 7.256922417000169, 7.305819417000748, 7.354691125015961, 7.4037059170077555, 7.453092167008435, 7.501839333999669, 7.550739417027216, 7.599956667021615, 7.649878459022148, 7.700055917026475, 7.750247292016866, 7.799624375009444, 7.849237209011335, 7.8988460000255145, 7.949554584018188, 8.000506209005835, 8.050529250002, 8.101226124999812, 8.15086445902125, 8.20034825001494, 8.249865042016609, 8.29981300001964, 8.34984787501162, 8.400478167022811, 8.449486500001512, 8.498755917011295, 8.548330709018046, 8.597629167023115, 8.647050459025195, 8.69624070901773, 8.74519420901197, 8.794684459018754, 8.8437330420129, 8.892111959023168, 8.940710667025996, 8.990320292010438, 9.040630458999658, 9.09036941701197, 9.140419125003973, 9.189680917013902, 9.239135334006278, 9.288593125005718, 9.337886292021722, 9.387150624999776, 9.437232249998488, 9.4860352500109]",,,,,570352,001,2023-10-16_10h29.28.533,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,0.009656375012127683,"[-0.42444444444444446, -0.42444444444444446, -0.4477777777777778, -0.45666666666666667, -0.4477777777777778, -0.4288888888888889, -0.41888888888888887, -0.4177777777777778, -0.4166666666666667, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557, -0.4177777777777778, -0.41555555555555557, -0.41555555555555557, -0.41555555555555557]","[0.017777777777777778, 0.017777777777777778, 0.08, 0.16111111111111112, 0.23222222222222222, 0.2866666666666667, 0.32666666666666666, 0.3522222222222222, 0.36666666666666664, 0.37, 0.3711111111111111, 0.37333333333333335, 0.37333333333333335, 0.37333333333333335, 0.37333333333333335, 0.37333333333333335, 0.38, 0.4011111111111111, 0.41444444444444445, 0.41555555555555557, 0.41555555555555557]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004378329904284328, 0.049977000016951934, 0.09949829199467786, 0.1488057080132421, 0.197928250010591, 0.24719466699752957, 0.2968512919906061, 0.3462390420027077, 0.395429583004443, 0.444909457990434, 0.49415174999739975, 0.5428696669987403, 0.5912403330148663, 0.6403433750092518, 0.6894552079902496, 0.7390472500119358, 0.7889538329909556, 0.8390982499986421, 0.88926504200208, 0.9396432079956867, 0.989405792002799]",,,,,570352,001,2023-10-16_10h29.28.533,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,31.175833124987548,,,,570352,001,2023-10-16_10h29.28.533,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,[],[],[],[],[],[],,,,,570352,001,2023-10-16_10h29.28.533,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,0.010118209000211209,"[0.03111111111111111, 0.03111111111111111, 0.03111111111111111, 0.03, -0.03666666666666667, -0.14333333333333334, -0.21333333333333335, -0.23222222222222222, -0.23222222222222222, -0.23222222222222222, -0.23222222222222222, -0.2411111111111111, -0.2477777777777778, -0.24888888888888888, -0.24888888888888888, -0.24888888888888888, -0.24888888888888888, -0.24888888888888888, -0.26, -0.28, -0.2911111111111111, -0.29444444444444445, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.3088888888888889, -0.3277777777777778, -0.34444444444444444, -0.3622222222222222, -0.38333333333333336, -0.39666666666666667, -0.4066666666666667, -0.4122222222222222, -0.4166666666666667, -0.4177777777777778, -0.41444444444444445, -0.41, -0.3977777777777778, -0.38333333333333336, -0.37, -0.3655555555555556, -0.36444444444444446, -0.36333333333333334, -0.3622222222222222, -0.3622222222222222, -0.3622222222222222, -0.3611111111111111, -0.3611111111111111, -0.3611111111111111, -0.3611111111111111, -0.3611111111111111, -0.3611111111111111, -0.3611111111111111, -0.3611111111111111, -0.3611111111111111, -0.36, -0.35777777777777775, -0.34444444444444444, -0.32, -0.30444444444444446, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111]","[0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.11, 0.13111111111111112, 0.14444444444444443, 0.14888888888888888, 0.14888888888888888, 0.14888888888888888, 0.1511111111111111, 0.16111111111111112, 0.16777777777777778, 0.16777777777777778, 0.16777777777777778, 0.16777777777777778, 0.16777777777777778, 0.16777777777777778, 0.17777777777777778, 0.19333333333333333, 0.20333333333333334, 0.20666666666666667, 0.20666666666666667, 0.20666666666666667, 0.20666666666666667, 0.20666666666666667, 0.20666666666666667, 0.20666666666666667, 0.20666666666666667, 0.21666666666666667, 0.23333333333333334, 0.2511111111111111, 0.27444444444444444, 0.2966666666666667, 0.31333333333333335, 0.3277777777777778, 0.3388888888888889, 0.3466666666666667, 0.3511111111111111, 0.3522222222222222, 0.35, 0.34, 0.32555555555555554, 0.3111111111111111, 0.3055555555555556, 0.3022222222222222, 0.29888888888888887, 0.29444444444444445, 0.2922222222222222, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.29333333333333333, 0.3011111111111111, 0.31, 0.31777777777777777, 0.3388888888888889, 0.35333333333333333, 0.35777777777777775, 0.35777777777777775, 0.35777777777777775]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017662500613369048, 0.04892145801568404, 0.0977756250067614, 0.14745099999709055, 0.19734283300931565, 0.24709275001077913, 0.2965549170039594, 0.34644216700689867, 0.3954402919916902, 0.44418733299244195, 0.4930029580136761, 0.5421194169903174, 0.5913097920129076, 0.6397408329939935, 0.6880255420110188, 0.737726291990839, 0.7874692080076784, 0.8373016669938806, 0.8876557920011692, 0.9375087500084192, 0.9876508750021458, 1.0384885419916827, 1.0885652500146534, 1.137703332991805, 1.1867291250091512, 1.2357488330162596, 1.284513499995228, 1.3338671250094194, 1.3832762920064852, 1.433176042017294, 1.4826284169976134, 1.5325313750072382, 1.5817790419969242, 1.6313608330092393, 1.6806385829986539, 1.7293929170118645, 1.7785711250035092, 1.8278419580019545, 1.8770287499937695, 1.9265271250042133, 1.9757990830112249, 2.0255370830127504, 2.0750966670166235, 2.1247222920064814, 2.174264375003986, 2.223239625018323, 2.272751167009119, 2.3219643750053365, 2.3723690829938278, 2.4220039170177188, 2.471633000008296, 2.5213235830015037, 2.5707758750068024, 2.6202722919988446, 2.6695135830086656, 2.719461750006303, 2.769056916993577, 2.819153791991994, 2.8693061670055613, 2.9189708750054706, 2.9686945420107804, 3.017854542005807, 3.0679085000010673, 3.1179017079994082, 3.1678352919989266, 3.217267375002848, 3.2664749170071445, 3.3151969170139637, 3.3645926250028424, 3.4155193330079783]",,,,,570352,001,2023-10-16_10h29.28.533,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,,,,,,0.008887583011528477,"[-0.4, -0.4, -0.4, -0.4]","[0.4033333333333333, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333]","[0, 0, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0001702499866951257, 0.05085758399218321, 0.10113208400434814, 0.15094170899828896]",,,,,570352,001,2023-10-16_10h29.28.533,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,45.80481408300693,,,,570352,001,2023-10-16_10h29.28.533,WythoffsHumanExp,2023.1.3,None,
