games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,reccall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,581375,001,2023-10-02_12h50.34.868,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,581375,001,2023-10-02_12h50.34.868,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,11.185929457991733,,,,581375,001,2023-10-02_12h50.34.868,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,581375,001,2023-10-02_12h50.34.868,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,19.868728250003187,,,581375,001,2023-10-02_12h50.34.868,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,581375,001,2023-10-02_12h50.34.868,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,581375,001,2023-10-02_12h50.34.868,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,31.893176124998718,,,581375,001,2023-10-02_12h50.34.868,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,32.80767883299268,,581375,001,2023-10-02_12h50.34.868,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,49.638448165991576,581375,001,2023-10-02_12h50.34.868,WythoffsHumanExp,2023.1.3,None,
