games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,14.509325916995294,,,,,,,,,,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,"[-0.41, -0.41, -0.41, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889]","[0.3877777777777778, 0.3888888888888889, 0.39111111111111113, 0.3933333333333333, 0.3933333333333333, 0.3933333333333333]","[0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.000370459005353041, 0.050907625001855195, 0.10045491700293496, 0.15044879200286232, 0.20169254200300202, 0.25177333400642965]",0.04307587500079535,,,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,22.661983582991525,,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.41444444444444445, -0.41333333333333333, -0.41, -0.40555555555555556, -0.40444444444444444, -0.4033333333333333, -0.40444444444444444, -0.4066666666666667, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778]","[0.3488888888888889, 0.3511111111111111, 0.35888888888888887, 0.3622222222222222, 0.36777777777777776, 0.37444444444444447, 0.38333333333333336, 0.39, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225, 0.39222222222222225]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00039004201244097203, 0.049830957999802195, 0.09884941700147465, 0.1479680000047665, 0.19708491700293962, 0.24674450000748038, 0.29638079200231005, 0.34605929200188257, 0.3945753330044681, 0.44310183300694916, 0.49206908300402574, 0.5415169580082875]",0.03612799999245908,,,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,29.04531504199258,,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,29.50037570799759,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,32.79837945799227,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,643677,001,2023-10-10_11h57.40.396,WythoffsHumanExp,2023.1.3,None,
