practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,imagine_text.started,section_2_text.started,section_3_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,96,2023-10-30_18h51.14.260,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,96,2023-10-30_18h51.14.260,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.66506208400097,,,,,,,,,,,,,,69,96,2023-10-30_18h51.14.260,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008158082993759308,"[-0.6588888888888889, -0.6588888888888889, -0.6588888888888889, 0.0, 0.0, 0.0, 0.022222222222222223, 0.0044444444444444444, -0.11, -0.21, -0.26222222222222225, -0.2866666666666667, -0.2866666666666667, -0.2866666666666667, -0.2866666666666667, -0.2866666666666667, -0.29444444444444445, -0.32222222222222224, -0.35444444444444445, -0.36777777777777776, -0.37777777777777777, -0.3877777777777778, -0.4011111111111111, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.4077777777777778, -0.41, -0.41, -0.41, -0.41]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.006666666666666667, 0.042222222222222223, 0.13333333333333333, 0.17222222222222222, 0.19111111111111112, 0.2011111111111111, 0.2011111111111111, 0.2011111111111111, 0.2011111111111111, 0.2011111111111111, 0.22111111111111112, 0.26222222222222225, 0.29444444444444445, 0.30666666666666664, 0.31666666666666665, 0.3322222222222222, 0.3522222222222222, 0.35888888888888887, 0.36, 0.3655555555555556, 0.37222222222222223, 0.38222222222222224, 0.39444444444444443, 0.4011111111111111, 0.4033333333333333, 0.4033333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001785830027074553, 0.04953741699864622, 0.09835387500061188, 0.14743541699863272, 0.19640691699896706, 0.2455498749986873, 0.2950739169973531, 0.3441125829995144, 0.3930923329971847, 0.44231083300110186, 0.491687166999327, 0.5400450419983827, 0.5883136249976815, 0.6364182499964954, 0.6853933329985011, 0.7346807919966523, 0.7839447079968522, 0.8340279580006609, 0.8838795420015231, 0.9334518329997081, 0.9833197080006357, 1.0327272919967072, 1.081942666998657, 1.131239333000849, 1.18016245799663, 1.2293240829967544, 1.2785514580027666, 1.3278618330004974, 1.3768720000007306, 1.4259479169995757, 1.4743459579985938, 1.5229089170024963]",166.66357033399981,168.3130984169984,,,,,69,96,2023-10-30_18h51.14.260,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.01836145800189115,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0022222222222222222, -0.03777777777777778, -0.09555555555555556, -0.16111111111111112, -0.20666666666666667, -0.23555555555555555, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.25333333333333335, -0.2544444444444444, -0.2611111111111111, -0.26555555555555554, -0.2677777777777778, -0.2677777777777778, -0.2688888888888889, -0.2688888888888889, -0.2688888888888889, -0.27, -0.27, -0.27111111111111114, -0.27111111111111114, -0.27111111111111114, -0.27111111111111114, -0.2733333333333333, -0.2811111111111111, -0.29333333333333333, -0.30666666666666664, -0.32, -0.3322222222222222, -0.3411111111111111, -0.35, -0.35555555555555557, -0.35888888888888887, -0.36333333333333334, -0.36444444444444446, -0.3655555555555556, -0.36777777777777776, -0.37, -0.37, -0.37, -0.36666666666666664, -0.3566666666666667, -0.35, -0.3488888888888889, -0.3488888888888889, -0.35, -0.35333333333333333, -0.35444444444444445, -0.35555555555555557, -0.35555555555555557, -0.35555555555555557, -0.35555555555555557, -0.35555555555555557, -0.35555555555555557, -0.35555555555555557, -0.35555555555555557, -0.35555555555555557]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011111111111111111, 0.03777777777777778, 0.09777777777777778, 0.14777777777777779, 0.16333333333333333, 0.16555555555555557, 0.16777777777777778, 0.16777777777777778, 0.16777777777777778, 0.16777777777777778, 0.16777777777777778, 0.16777777777777778, 0.16777777777777778, 0.17222222222222222, 0.18444444444444444, 0.1922222222222222, 0.19444444444444445, 0.19555555555555557, 0.19666666666666666, 0.19777777777777777, 0.2, 0.2011111111111111, 0.20333333333333334, 0.20555555555555555, 0.20666666666666667, 0.2088888888888889, 0.21222222222222223, 0.22, 0.2388888888888889, 0.25666666666666665, 0.2722222222222222, 0.2866666666666667, 0.29555555555555557, 0.30333333333333334, 0.31222222222222223, 0.31777777777777777, 0.3233333333333333, 0.33111111111111113, 0.3333333333333333, 0.33555555555555555, 0.34555555555555556, 0.35333333333333333, 0.35555555555555557, 0.35555555555555557, 0.35555555555555557, 0.35555555555555557, 0.35555555555555557, 0.3566666666666667, 0.3566666666666667, 0.3566666666666667, 0.35888888888888887, 0.36, 0.3611111111111111, 0.3611111111111111, 0.36, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887, 0.35888888888888887]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018491600349079818, 0.04950104100134922, 0.09848200000124052, 0.14754350000293925, 0.19590162500389852, 0.24404766600491712, 0.2923293330022716, 0.3408130000025267, 0.3891585830060649, 0.43737387500004843, 0.4861109160046908, 0.534819125001377, 0.5830071660020621, 0.6322059580052155, 0.6815287080025882, 0.7311429160035914, 0.7809304160036845, 0.8299080409997259, 0.8789418750020559, 0.9279000000024098, 0.9768605830031447, 1.0254407910033478, 1.0743003330062493, 1.1227390410058433, 1.1711788330067066, 1.2194183750034426, 1.2676060000012512, 1.3167592080062605, 1.366514625005948, 1.4162527500011493, 1.4663890000010724, 1.5166418330045417, 1.5665863750036806, 1.6160948750039097, 1.665806541001075, 1.7156566250050673, 1.7655576250035665, 1.815447833003418, 1.8651600000011967, 1.9145795410004212, 1.9641307500060066, 2.013273750002554, 2.0621614580013556, 2.1111427910000202, 2.1606580000006943, 2.2097647080008755, 2.2588207500011777, 2.307959166006185, 2.3569291250023525, 2.405117333000817, 2.454158708002069, 2.5031892500046524, 2.552180375001626, 2.6003797500015935, 2.650405166001292, 2.7000775000051362, 2.7499150000003283, 2.799200749999727, 2.8484414580016164, 2.8982947500044247, 2.94814166600554, 2.998214208004356, 3.0488871250054217, 3.0984608750004554, 3.1481960830060416, 3.197956083000463, 3.2469964160045492, 3.295768208001391, 3.344380791000731, 3.3932029999996303, 3.4418081250041723, 3.4900207910031895, 3.5383851250007865, 3.5867520829997375, 3.6358191660037846, 3.684348333001253]",190.31184287500218,,,,,,69,96,2023-10-30_18h51.14.260,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,0.03605737500038231,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.021111111111111112, 0.027777777777777776, 0.017777777777777778, -0.06333333333333334, -0.1411111111111111, -0.1922222222222222, -0.23, -0.24222222222222223, -0.24333333333333335, -0.2388888888888889, -0.22666666666666666, -0.21444444444444444, -0.21, -0.22333333333333333, -0.27, -0.3, -0.32, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3244444444444444, -0.3277777777777778, -0.33111111111111113, -0.3322222222222222, -0.33555555555555555, -0.33555555555555555, -0.33666666666666667, -0.3377777777777778, -0.3422222222222222, -0.34555555555555556, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3466666666666667, -0.3377777777777778, -0.32666666666666666, -0.3233333333333333, -0.32222222222222224, -0.32, -0.3188888888888889, -0.31555555555555553, -0.31, -0.3022222222222222, -0.3, -0.3, -0.29888888888888887, -0.29888888888888887, -0.29888888888888887, -0.29888888888888887, -0.29888888888888887, -0.29777777777777775, -0.2966666666666667, -0.2966666666666667, -0.2966666666666667, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.29555555555555557, -0.2966666666666667, -0.30444444444444446, -0.30777777777777776, -0.30777777777777776, -0.30777777777777776, -0.30666666666666664, -0.30444444444444446, -0.3022222222222222, -0.3022222222222222, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3322222222222222, -0.3466666666666667, -0.3477777777777778, -0.3488888888888889, -0.3511111111111111, -0.3511111111111111, -0.3511111111111111, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3522222222222222, -0.3477777777777778, -0.3433333333333333, -0.3433333333333333, -0.3422222222222222, -0.3422222222222222, -0.34, -0.3377777777777778, -0.33444444444444443, -0.31666666666666665, -0.2966666666666667, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.29333333333333333, -0.2966666666666667, -0.31666666666666665, -0.33111111111111113, -0.3333333333333333, -0.33444444444444443, -0.33444444444444443]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0044444444444444444, -0.01888888888888889, -0.04888888888888889, -0.08, -0.11666666666666667, -0.15333333333333332, -0.14, -0.014444444444444444, 0.10222222222222223, 0.14777777777777779, 0.15666666666666668, 0.16111111111111112, 0.16666666666666666, 0.17222222222222222, 0.17666666666666667, 0.19777777777777777, 0.23444444444444446, 0.23777777777777778, 0.23, 0.22666666666666666, 0.22666666666666666, 0.22666666666666666, 0.22666666666666666, 0.22666666666666666, 0.22666666666666666, 0.23777777777777778, 0.2544444444444444, 0.2677777777777778, 0.2866666666666667, 0.29333333333333333, 0.29444444444444445, 0.29444444444444445, 0.29777777777777775, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.29888888888888887, 0.29888888888888887, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.29777777777777775, 0.3055555555555556, 0.31444444444444447, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31666666666666665, 0.31444444444444447, 0.31444444444444447, 0.3211111111111111, 0.3277777777777778, 0.33, 0.33111111111111113, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.33444444444444443, 0.3388888888888889, 0.34555555555555556, 0.3488888888888889, 0.3511111111111111, 0.3511111111111111, 0.3511111111111111, 0.3511111111111111, 0.3511111111111111, 0.3511111111111111, 0.3511111111111111, 0.3511111111111111, 0.3511111111111111, 0.3511111111111111, 0.34555555555555556, 0.3233333333333333, 0.3111111111111111, 0.30777777777777776, 0.3011111111111111, 0.29555555555555557, 0.2911111111111111, 0.28888888888888886, 0.28888888888888886, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.2877777777777778, 0.28888888888888886, 0.29, 0.29, 0.29, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.2911111111111111, 0.30777777777777776, 0.31555555555555553, 0.31666666666666665, 0.31777777777777777, 0.32666666666666666, 0.3411111111111111, 0.34555555555555556, 0.34555555555555556, 0.34555555555555556, 0.3477777777777778, 0.3488888888888889, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.3511111111111111, 0.3522222222222222, 0.35333333333333333, 0.35333333333333333, 0.35333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018733299657469615, 0.04968433299654862, 0.09899991599377245, 0.14792391599621624, 0.19701841599453473, 0.2460386659950018, 0.2954295409945189, 0.34384024999599205, 0.39249774999916553, 0.44099816599918995, 0.4903947079947102, 0.5397236659991904, 0.5888049579953076, 0.6382302909987629, 0.6874532500005444, 0.7365768329982529, 0.7852058749995194, 0.835093790999963, 0.8848137499953737, 0.9345535829997971, 0.9843892499993672, 1.0343119579993072, 1.0843400409939932, 1.1340677080006571, 1.184151290995942, 1.234812915994553, 1.285219874996983, 1.33522074999928, 1.385025499999756, 1.4345577499989304, 1.4837264159941697, 1.533344790994306, 1.58263724999415, 1.6312547499983339, 1.6799881249971804, 1.7290867499978049, 1.7775179159943946, 1.8268994159952854, 1.8767067909939215, 1.925826374994358, 1.9749322499992559, 2.024227374997281, 2.0732986660004826, 2.122323540999787, 2.1711997499951394, 2.2195021659936174, 2.2681852909954614, 2.3175459159974707, 2.3671069999982137, 2.4163286249968223, 2.4658093329999247, 2.515781915994012, 2.5651212079974357, 2.614452874993731, 2.663095541000075, 2.7114169579945155, 2.7599237079994055, 2.8083521659937105, 2.85720804099401, 2.906009291000373, 2.954826665998553, 3.003201457999239, 3.051446957993903, 3.1006294999970123, 3.150042332999874, 3.1993893749968265, 3.248581624997314, 3.2969084159994964, 3.3452057909962605, 3.3934609159987303, 3.44232799999736, 3.491326957999263, 3.540200666000601, 3.588977832994715, 3.637972249998711, 3.686877790998551, 3.7357466249959543, 3.784640165999008, 3.8342762499960372, 3.883821249997709, 3.933526041000732, 3.9830909579977742, 4.032611957998597, 4.081796165999549, 4.131062415995984, 4.180272207995586, 4.229198916000314, 4.277761915996962, 4.3261742499962565, 4.374754165997729, 4.4234172079959535, 4.47209983299399, 4.520770290997461, 4.569200707999698, 4.618059957996593, 4.667712999995274, 4.717605332996754, 4.767523374997836, 4.816810665994126, 4.868277040994144, 4.9201506249955855, 4.971218250000675, 5.022693082995829, 5.0738047909981105, 5.125278332998278, 5.176824915994075, 5.227751957994769, 5.276524499997322, 5.324843290996796, 5.373688374995254, 5.422182249996695, 5.470496333000483, 5.519158749993949, 5.5673897079977905, 5.616764207996312, 5.665864665999834, 5.714734875000431, 5.763830332994985, 5.813134332995105, 5.862382125000295, 5.911149790998024, 5.959797749994323, 6.00839879099658, 6.057409875000303, 6.105873124994105, 6.154215832997579, 6.202340499999991, 6.251196082994284, 6.300224708000314, 6.349584666000737, 6.399391040999035, 6.4491244579985505, 6.499050082995382, 6.550271041000087, 6.599967457994353, 6.649591875000624, 6.699325875000795, 6.749644707997504, 6.800476541000535, 6.8495331249941955, 6.898763582998072, 6.947134750000259, 6.995479624994914, 7.043850791000295, 7.091853624995565, 7.139976624996052, 7.188776249997318, 7.236895707996155, 7.285865582998667, 7.335027040993737, 7.385052457997517, 7.4345331660006195, 7.484751457996026, 7.534209332996397, 7.584207082996727, 7.633542083000066, 7.682749290994252, 7.732150957999693, 7.780738749999728, 7.829196124999726, 7.877503582996724, 7.926233291000244, 7.975480124994647, 8.02467429099488, 8.073668457996973, 8.122493124996254, 8.171292499995616, 8.220206957994378, 8.269596499994805, 8.317959374995553, 8.367408874997636, 8.417228165999404, 8.467609082996205, 8.516934624996793, 8.566359749995172, 8.61642758299422, 8.665544332994614, 8.714008957998885, 8.762240040996403, 8.810541165999894, 8.859059707996494, 8.90807033299643, 8.95676479100075, 9.0056521660008, 9.054088915996545, 9.102858291000302, 9.152023374997952]",217.6182544589974,,,,,,69,96,2023-10-30_18h51.14.260,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,96,2023-10-30_18h51.14.260,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.24291883400292,,,,69,96,2023-10-30_18h51.14.260,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.79711779199715,,,69,96,2023-10-30_18h51.14.260,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.8849320840018,,69,96,2023-10-30_18h51.14.260,WythoffsHumanExp,2023.1.3,None,
