games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,status_text.started,next_mouse.started,next_mouse.x,next_mouse.y,next_mouse.leftButton,next_mouse.midButton,next_mouse.rightButton,next_mouse.time,next_mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,744302,001,2023-09-26_14h21.14.705,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,13.80210570798954,0.039476333011407405,[-0.04777777777777778],[-0.008888888888888889],[1],[0],[0],[23.759136541979387],['button'],744302,001,2023-09-26_14h21.14.705,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,744302,001,2023-09-26_14h21.14.705,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,,,,,744302,001,2023-09-26_14h21.14.705,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,45.38689741695998,0.038835084007587284,[-0.04555555555555556],[-0.005555555555555556],[1],[0],[0],[27.523722791986074],['button'],744302,001,2023-09-26_14h21.14.705,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,,,,,,744302,001,2023-09-26_14h21.14.705,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,,,,,,744302,001,2023-09-26_14h21.14.705,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,,,,,,,,744302,001,2023-09-26_14h21.14.705,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,84.94492395798443,0.03788912500021979,[0.016666666666666666],[0.0077777777777777776],[1],[0],[0],[3.0803683749982156],['button'],744302,001,2023-09-26_14h21.14.705,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,,,,,,,744302,001,2023-09-26_14h21.14.705,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,94.9081087919767,0.0328681250102818,[-0.05333333333333334],[-0.02],[1],[0],[0],[17.269939041987527],['button'],744302,001,2023-09-26_14h21.14.705,WythoffsHumanExp,2023.1.3,None,
