games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,imagine_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,750849,000,2023-10-02_13h36.38.666,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,750849,000,2023-10-02_13h36.38.666,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,13.196342875002301,,,750849,000,2023-10-02_13h36.38.666,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,750849,000,2023-10-02_13h36.38.666,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,750849,000,2023-10-02_13h36.38.666,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,23.170949916995596,,750849,000,2023-10-02_13h36.38.666,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,750849,000,2023-10-02_13h36.38.666,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,750849,000,2023-10-02_13h36.38.666,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,34.83463816699805,,750849,000,2023-10-02_13h36.38.666,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,750849,000,2023-10-02_13h36.38.666,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,35.85168108300422,,,,,,,
