practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,turns_4.thisRepN,turns_4.thisTrialN,turns_4.thisN,turns_4.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,recall_text.started,section_2_text.started,section_3_text.started,section_4_text.started,end_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,001,2024-01-09_12h44.23.609,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,001,2024-01-09_12h44.23.609,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.859030959007214,,,,,,,,,,,,,,,8000,001,2024-01-09_12h44.23.609,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015745000127935782,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013333333333333334, 0.07222222222222222, 0.09444444444444444, 0.09666666666666666, 0.09666666666666666, 0.09666666666666666, 0.09666666666666666, 0.08333333333333333, -0.042222222222222223, -0.3, -0.4166666666666667, -0.43333333333333335, -0.43333333333333335, -0.43333333333333335, -0.43333333333333335, -0.4311111111111111, -0.4266666666666667, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013333333333333334, 0.07777777777777778, 0.10777777777777778, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.11777777777777777, 0.19444444444444445, 0.22333333333333333, 0.23, 0.2311111111111111, 0.2311111111111111, 0.22666666666666666, 0.20555555555555555, 0.19111111111111112, 0.19, 0.19, 0.19, 0.19, 0.19, 0.19, 0.19111111111111112, 0.19111111111111112, 0.19111111111111112, 0.19111111111111112, 0.19111111111111112, 0.19111111111111112, 0.19111111111111112]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.000186040997505188, 0.049479291003081016, 0.09844166600669269, 0.14756179100368172, 0.1970385000022361, 0.24663900000450667, 0.29599012499966193, 0.3462805830058642, 0.39638791600009426, 0.44626504099869635, 0.49604220800392795, 0.5453162080084439, 0.5948654999956489, 0.6449890829971991, 0.695148375001736, 0.7448132910067216, 0.7951006660005078, 0.845057957994868, 0.8949925409979187, 0.9450484580011107, 0.9946747500071069, 1.0445092500012834, 1.0946242909994908, 1.1445805410039611, 1.1949676660005935, 1.2452147500007413, 1.2947395000082906, 1.3440288330020849, 1.3933226250082953, 1.4431823330087354, 1.4930603749962756, 1.543175250000786, 1.5926344580075238, 1.641865665995283, 1.6913324159977492, 1.7409579160012072, 1.7916510829963954, 1.8417304580070777]",54.41271287501149,44.556204709006124,,,,,,8000,001,2024-01-09_12h44.23.609,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005844580009579659,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0044444444444444444, 0.027777777777777776, 0.034444444444444444, 0.034444444444444444, 0.034444444444444444, 0.034444444444444444, 0.025555555555555557, -0.09555555555555556, -0.2477777777777778, -0.34, -0.3611111111111111, -0.36666666666666664, -0.38, -0.3888888888888889, -0.3977777777777778, -0.4077777777777778, -0.4111111111111111, -0.4111111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.10777777777777778, 0.3244444444444444, 0.37222222222222223, 0.37444444444444447, 0.37444444444444447, 0.37444444444444447, 0.37444444444444447, 0.38555555555555554, 0.4211111111111111, 0.42444444444444446, 0.42, 0.42, 0.4177777777777778, 0.41555555555555557, 0.41333333333333333, 0.4111111111111111, 0.4111111111111111, 0.4111111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001767089997883886, 0.05031700000108685, 0.09944204200292006, 0.14877116700517945, 0.1982209590059938, 0.24779716700140852, 0.2982579590025125, 0.34800675000587944, 0.39865845900203567, 0.4488278750068275, 0.4985621250089025, 0.5482673750084359, 0.5978018340101698, 0.6478702919994248, 0.6983655000076396, 0.7487999590084655, 0.7990305420098593, 0.8490438340086257, 0.8990139590023318, 0.9489122920058435, 0.998982375007472, 1.0492601250007283, 1.1001125000038883, 1.1501441250002244, 1.2004178750066785, 1.2501139170053648]",63.61347841699899,,,,,,,8000,001,2024-01-09_12h44.23.609,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4644305420079,,,,,8000,001,2024-01-09_12h44.23.609,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,001,2024-01-09_12h44.23.609,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0.0005700000037904829,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014444444444444444, 0.008888888888888889, 0.0077777777777777776, 0.0077777777777777776, 0.0077777777777777776, 0.0077777777777777776, 0.0077777777777777776, 0.0077777777777777776, -0.03777777777777778, -0.17777777777777778, -0.25222222222222224, -0.27, -0.27, -0.2688888888888889, -0.2688888888888889, -0.26666666666666666, -0.2511111111111111, -0.24555555555555555, -0.24555555555555555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.21777777777777776, 0.32555555555555554, 0.36, 0.36, 0.36, 0.36, 0.36, 0.36, 0.36333333333333334, 0.3933333333333333, 0.4077777777777778, 0.4122222222222222, 0.41444444444444445, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00019249999604653567, 0.05058416699466761, 0.0999454999982845, 0.1492267499997979, 0.19856166699901223, 0.24783199999365024, 0.2973948750004638, 0.34676333400420845, 0.3964682920050109, 0.44607391700265, 0.4953352919983445, 0.544843084004242, 0.5941357919946313, 0.6432397089956794, 0.693699084004038, 0.7448830420034938, 0.7954156670020893, 0.8443841669941321, 0.8936152920068707, 0.9434106249973411, 0.9934762500051875, 1.0439982090028934, 1.0938589169963961, 1.1443707500002347, 1.1945339170051739, 1.2451342090062099, 1.2952529589965707, 1.345026584007428, 1.394820458997856, 1.444642542002839, 1.4951368750043912, 1.5452245839987881, 1.5959521250042599, 1.6456841250037542]",127.26105412500328,,,66.42305450000276,86.32383200000913,114.941680584001,,8000,001,2024-01-09_12h44.23.609,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,0.0005902499979129061,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033333333333333335, 0.0033333333333333335, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, -0.005555555555555556, -0.015555555555555555, -0.024444444444444446, -0.056666666666666664, -0.07444444444444444, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.0811111111111111, -0.08222222222222222, -0.1322222222222222, -0.2733333333333333, -0.3322222222222222, -0.3477777777777778, -0.3477777777777778, -0.3477777777777778, -0.3477777777777778, -0.3477777777777778, -0.35888888888888887, -0.39222222222222225, -0.4077777777777778, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.41, -0.4077777777777778, -0.4066666666666667, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40444444444444444, -0.40444444444444444, -0.40444444444444444, -0.40444444444444444, -0.40555555555555556, -0.40555555555555556, -0.4066666666666667, -0.4066666666666667, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.40555555555555556, -0.4022222222222222, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111, -0.4011111111111111, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222, -0.4033333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0044444444444444444, 0.09333333333333334, 0.15, 0.15888888888888889, 0.15888888888888889, 0.15888888888888889, 0.15888888888888889, 0.15888888888888889, 0.15888888888888889, 0.15, 0.14555555555555555, 0.15888888888888889, 0.23777777777777778, 0.29555555555555557, 0.31444444444444447, 0.31444444444444447, 0.31444444444444447, 0.31444444444444447, 0.31444444444444447, 0.31444444444444447, 0.31777777777777777, 0.35888888888888887, 0.38555555555555554, 0.3933333333333333, 0.3933333333333333, 0.3933333333333333, 0.3933333333333333, 0.3933333333333333, 0.39555555555555555, 0.41, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.4122222222222222, 0.39111111111111113, 0.3655555555555556, 0.3466666666666667, 0.33555555555555555, 0.3322222222222222, 0.3322222222222222, 0.3322222222222222, 0.33, 0.3233333333333333, 0.31555555555555553, 0.3111111111111111, 0.30666666666666664, 0.3022222222222222, 0.2966666666666667, 0.29333333333333333, 0.2877777777777778, 0.2822222222222222, 0.27444444444444444, 0.2588888888888889, 0.2411111111111111, 0.22666666666666666, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.21444444444444444, 0.1988888888888889, 0.1922222222222222, 0.19, 0.18888888888888888]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001961250090971589, 0.05045970900391694, 0.09955612500198185, 0.14887445900239982, 0.19819308401201852, 0.24732495901116636, 0.29654104200017173, 0.3460279170103604, 0.39582991700444836, 0.4456567500019446, 0.4957807090104325, 0.546040917004575, 0.5961176250129938, 0.6461707090056734, 0.6957312920130789, 0.7447219590103487, 0.7944444170134375, 0.8439621670113411, 0.8938668340124423, 0.9440672920027282, 0.9945525000075577, 1.0449775000015507, 1.094768709008349, 1.144882000007783, 1.1949991250003222, 1.2444225840008585, 1.2933608340099454, 1.3423000420007156, 1.3925341670110356, 1.443040917001781, 1.4932977920107078, 1.543153959006304, 1.593097792007029, 1.64286216700566, 1.6927912090031896, 1.743674417011789, 1.7931399590015644, 1.8427399590000277, 1.892938042001333, 1.9436077090067556, 1.9938507500046398, 2.0437465000140946, 2.0930013750039507, 2.14204062501085, 2.191755125008058, 2.2416655420092866, 2.2917707090091426, 2.341908250004053, 2.3917275840067305, 2.441453500010539, 2.4910334590094863, 2.540742625002167, 2.5905755420099013, 2.640293667005608, 2.6912122500070836, 2.741520584007958, 2.791813417003141, 2.8416713340120623, 2.891708209004719, 2.9419097090139985, 2.991742709011305, 3.0413705420069164, 3.0914902500080643, 3.1411925420106854, 3.1911425840080483, 3.240970084007131, 3.291927834012313, 3.3419162920035888, 3.3918576250143815, 3.4417728340049507, 3.491908625001088, 3.5428280840133084, 3.5932805000047665, 3.643216584008769, 3.6932846670097206, 3.7433326250029495, 3.793394584005, 3.8435483340144856, 3.8931112090067472, 3.9426762090006378, 3.9931061250099447, 4.043342292003217, 4.093235709005967, 4.143687125004362, 4.193996417001472, 4.243849042002694, 4.293999792003888, 4.3436190000065835, 4.393488334011636, 4.443545584013918, 4.4938751670124475, 4.544432209004299, 4.594332874999964, 4.644078167009866, 4.6945355420029955, 4.743746292006108, 4.793316792012774, 4.8427120840060525, 4.892742417010595, 4.943330500012962, 4.99347533400578, 5.043645417012158, 5.093731750006555]",154.42657679200056,,,,,,,8000,001,2024-01-09_12h44.23.609,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.50466133400914,8000,001,2024-01-09_12h44.23.609,WythoffsHumanExp,2023.1.3,None,
