practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,tutorial_games.thisRepN,tutorial_games.thisTrialN,tutorial_games.thisN,tutorial_games.thisIndex,tutorial_turns.thisRepN,tutorial_turns.thisTrialN,tutorial_turns.thisN,tutorial_turns.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,blink_text.started,section_2_text.started,section_3_text.started,euclid_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810419,2,2024-02-04_15h32.57.839,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810419,2,2024-02-04_15h32.57.839,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96813745899999,,,,,,,,,,,,,,810419,2,2024-02-04_15h32.57.839,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017031124996719882,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0044444444444444444, -0.09888888888888889, -0.19333333333333333, -0.2288888888888889, -0.2311111111111111, -0.2311111111111111, -0.2311111111111111, -0.2311111111111111, -0.24222222222222223, -0.3022222222222222, -0.36444444444444446, -0.39, -0.39555555555555555, -0.4, -0.40444444444444444, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4066666666666667, -0.40555555555555556, -0.3977777777777778, -0.3611111111111111, -0.31777777777777777, -0.29444444444444445, -0.29, -0.29, -0.29555555555555557, -0.31444444444444447, -0.3388888888888889, -0.35, -0.3566666666666667, -0.37, -0.39, -0.3988888888888889, -0.40555555555555556, -0.41, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.4111111111111111, -0.41, -0.41, -0.41, -0.41, -0.41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.043333333333333335, 0.10222222222222223, 0.1322222222222222, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13333333333333333, 0.13777777777777778, 0.16666666666666666, 0.19444444444444445, 0.20555555555555555, 0.2088888888888889, 0.21222222222222223, 0.21777777777777776, 0.22111111111111112, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.22333333333333333, 0.23555555555555555, 0.2511111111111111, 0.2588888888888889, 0.2611111111111111, 0.26222222222222225, 0.2644444444444444, 0.27, 0.27111111111111114, 0.27, 0.26555555555555554, 0.25666666666666665, 0.24555555555555555, 0.24222222222222223, 0.24, 0.2388888888888889, 0.2388888888888889, 0.2388888888888889, 0.24, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111, 0.2411111111111111]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017279199528275058, 0.049667458995827474, 0.0976415420009289, 0.14542487500148127, 0.19343545899755554, 0.24127283399866428, 0.2891510420013219, 0.3369810000003781, 0.38479891699535074, 0.4327033340014168, 0.48044191699591465, 0.528270374998101, 0.57620841699827, 0.6242393339998671, 0.6719572500005597, 0.7198310419989866, 0.7677207499946235, 0.8154347499948926, 0.8631074590011849, 0.910934499996074, 0.9584307499972056, 1.006253250001464, 1.0540187090009567, 1.1017094169947086, 1.1498739999951795, 1.1978214170012507, 1.2460015420001582, 1.2941310419992078, 1.3422271669987822, 1.391416833997937, 1.4404896669948357, 1.4891962920009973, 1.5380527089946554, 1.5866392089956207, 1.6345023339963518, 1.68220883399772, 1.7299621249985648, 1.779309708996152, 1.8284177919995273, 1.877042749998509, 1.9260874169995077, 1.9750327090005158, 2.0240610420005396, 2.0725921249977546, 2.1216470840008697, 2.17090995900071, 2.2191770839999663, 2.267815209001128, 2.3167801249946933, 2.3656359999949927, 2.4144735419977224, 2.4635720000005676, 2.5123326249959064, 2.5609199589962373, 2.609747750000679, 2.658188417000929, 2.7067589169964776, 2.7552713339973707, 2.8042525839991868, 2.8529844590011635, 2.9015012919990113, 2.949845833994914, 2.9984973749960773, 3.0471536249970086, 3.095849375000398, 3.1441606669977773, 3.192546209000284, 3.240923416997248, 3.289431917000911, 3.3377877919992898, 3.3857837499963352, 3.4341568339950754, 3.4822751249957946, 3.5311942089974764, 3.5802336669949]",73.39856058399891,59.13672954199865,,,,,810419,2,2024-02-04_15h32.57.839,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041880333999870345,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0033333333333333335, -0.06777777777777778, -0.2388888888888889, -0.31333333333333335, -0.32, -0.32, -0.32, -0.32555555555555554, -0.3566666666666667, -0.39666666666666667, -0.4088888888888889, -0.41, -0.41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04111111111111111, 0.11666666666666667, 0.13666666666666666, 0.13777777777777778, 0.13777777777777778, 0.13777777777777778, 0.13777777777777778, 0.15222222222222223, 0.17222222222222222, 0.17777777777777778, 0.17777777777777778, 0.17777777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017279099847655743, 0.04935812499752501, 0.09792670799652115, 0.14643841599900043, 0.19505812499846797, 0.24319137499696808, 0.29130137500033015, 0.33971924999787007, 0.3881219999966561, 0.4359635000000708, 0.48398708299646387, 0.5320983330020681, 0.5800384579997626, 0.6278494159996626, 0.6757756250008242, 0.723808957998699, 0.7715038749956875, 0.8196715410012985, 0.8678526250005234, 0.9160639580004499, 0.9639934160004486, 1.0123324579981272, 1.0607600000003004, 1.109144041001855, 1.157551083000726, 1.2057174579967977, 1.253835582996544, 1.301778374996502, 1.3499662499962142, 1.398013040998194, 1.4464539999971748, 1.4945220410008915, 1.5424105409983895, 1.5908388749958249, 1.6391099999964354, 1.6880753329969593, 1.7368824160002987, 1.7859061249982915, 1.834783124999376, 1.8835832080003456, 1.9322394159971736, 1.9809265829971991, 2.0304998329957016, 2.0797432079998543, 2.1287044159980724, 2.1774213749959017, 2.2265206660013064, 2.2757789159950335]",84.46877404199768,,,,,,810419,2,2024-02-04_15h32.57.839,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810419,2,2024-02-04_15h32.57.839,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810419,2,2024-02-04_15h32.57.839,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.39256279199617,,,,810419,2,2024-02-04_15h32.57.839,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038214207997953054,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.008888888888888889, -0.07888888888888888, -0.21888888888888888, -0.28888888888888886, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3011111111111111, -0.3022222222222222, -0.33111111111111113, -0.3711111111111111, -0.39444444444444443, -0.40555555555555556, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889, -0.4088888888888889]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0022222222222222222, 0.044444444444444446, 0.14555555555555555, 0.20222222222222222, 0.21333333333333335, 0.21333333333333335, 0.21333333333333335, 0.21333333333333335, 0.21333333333333335, 0.21444444444444444, 0.22111111111111112, 0.22333333333333333, 0.22555555555555556, 0.22666666666666666, 0.22666666666666666, 0.22777777777777777, 0.22777777777777777, 0.22777777777777777, 0.22777777777777777, 0.2288888888888889, 0.2288888888888889, 0.2288888888888889, 0.2288888888888889]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018370799807598814, 0.04931383299845038, 0.09761108300153865, 0.1456195829960052, 0.19370391599659342, 0.24196249999658903, 0.2899637910013553, 0.3379843750008149, 0.38638799999898765, 0.4349365000016405, 0.48317949999909615, 0.5318440409973846, 0.5803466249999474, 0.6284900410028058, 0.6763695830013603, 0.7244833329968969, 0.7723490829957882, 0.8212449580023531, 0.8693666249964735, 0.9173750409972854, 0.965362582996022, 1.0134740409994265, 1.0618122079977184, 1.1101421249986743, 1.1594518330020946, 1.2088930410027388, 1.2583390409999993, 1.3076553330029128, 1.3559390410009655, 1.4039668749974226, 1.4522116250009276, 1.5006844579984318, 1.5498729579994688, 1.59882700000162, 1.6478684160028934, 1.697311374999117, 1.7459752499999013, 1.7948341660012375, 1.8437799160019495, 1.8935750000018743, 1.9423999579958036, 1.990858749995823, 2.0396066659959615, 2.0883930409981986, 2.137295583001105, 2.1868468329994357, 2.2356949579989305]",133.0061823340002,,,86.73722233399894,108.32577020899771,134.0153791249977,810419,2,2024-02-04_15h32.57.839,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810419,2,2024-02-04_15h32.57.839,WythoffsHumanExp,2023.1.3,None,
