practice_games.thisRepN,practice_games.thisTrialN,practice_games.thisN,practice_games.thisIndex,practice_turns.thisRepN,practice_turns.thisTrialN,practice_turns.thisN,practice_turns.thisIndex,double_click_1.thisRepN,double_click_1.thisTrialN,double_click_1.thisN,double_click_1.thisIndex,games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,double_click_2.thisRepN,double_click_2.thisTrialN,double_click_2.thisN,double_click_2.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,double_click_3.thisRepN,double_click_3.thisTrialN,double_click_3.thisN,double_click_3.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,tutorial_games.thisRepN,tutorial_games.thisTrialN,tutorial_games.thisN,tutorial_games.thisIndex,tutorial_turns.thisRepN,tutorial_turns.thisTrialN,tutorial_turns.thisN,tutorial_turns.thisIndex,double_click_4.thisRepN,double_click_4.thisTrialN,double_click_4.thisN,double_click_4.thisIndex,new_games.thisRepN,new_games.thisTrialN,new_games.thisN,new_games.thisIndex,section_0_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,section_1_text.started,blink_text.started,section_2_text.started,section_3_text.started,euclid_text.started,section_4_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827534,2,2024-02-07_11h00.30.559,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827534,2,2024-02-07_11h00.30.559,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.84329545800574,,,,,,,,,,,,,,,827534,2,2024-02-07_11h00.30.559,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01690591599617619,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.006666666666666667, -0.06555555555555556, -0.16444444444444445, -0.26666666666666666, -0.3233333333333333, -0.3511111111111111, -0.36777777777777776, -0.3788888888888889, -0.3877777777777778, -0.39444444444444443, -0.4, -0.4022222222222222]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0044444444444444444, 0.04111111111111111, 0.1, 0.1511111111111111, 0.17777777777777778, 0.19, 0.19666666666666666, 0.20666666666666667, 0.21444444444444444, 0.2222222222222222, 0.22666666666666666, 0.22777777777777777]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016974999743979424, 0.04979550000280142, 0.09805520800000522, 0.1462635420029983, 0.19436187500832602, 0.24304358300287277, 0.29225645800761413, 0.3414975420018891, 0.39133104200300295, 0.440946457994869, 0.49065762500686105, 0.5400092079944443, 0.5895256670046365, 0.639860833005514, 0.6897569169959752, 0.7393836670089513, 0.7889381249988219, 0.8376398330001393]",60.821408207993954,48.69092612499662,,,,,,827534,2,2024-02-07_11h00.30.559,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0631451250083046,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03111111111111111, -0.11777777777777777, -0.20777777777777778, -0.2677777777777778, -0.2922222222222222, -0.29555555555555557, -0.29555555555555557, -0.30333333333333334, -0.33111111111111113, -0.37666666666666665, -0.4033333333333333, -0.41333333333333333, -0.41444444444444445]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028888888888888888, 0.10333333333333333, 0.15333333333333332, 0.17777777777777778, 0.18666666666666668, 0.18777777777777777, 0.18777777777777777, 0.18777777777777777, 0.19, 0.19, 0.18888888888888888, 0.18888888888888888, 0.18888888888888888]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018779099627863616, 0.049367208004696295, 0.09823437500745058, 0.1480204160034191, 0.1973112910054624, 0.2464135000045644, 0.29484274999413174, 0.3431819160032319, 0.3914982910064282, 0.4397197500074981, 0.48816091600747313, 0.5364538330031792, 0.5847731660032878, 0.6330159579956671, 0.682207332996768, 0.7320079579949379, 0.7826727909996407, 0.8323903749987949, 0.8820825000002515, 0.932509582999046, 0.9827576249954291, 1.0328521250048652, 1.0824557500018273, 1.1323506659973646, 1.1819887909950921, 1.2316200000059325, 1.2813946249953005, 1.3320607079949696, 1.3821629580052104]",70.6118855829991,,,,,,,827534,2,2024-02-07_11h00.30.559,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827534,2,2024-02-07_11h00.30.559,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827534,2,2024-02-07_11h00.30.559,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.07952520799881,,,,,827534,2,2024-02-07_11h00.30.559,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029511000000638887,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.022222222222222223, -0.10222222222222223, -0.21444444444444444, -0.2866666666666667, -0.3277777777777778, -0.34444444444444444, -0.35555555555555557, -0.36777777777777776, -0.38333333333333336, -0.39666666666666667, -0.4, -0.4011111111111111, -0.4011111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016666666666666666, 0.07666666666666666, 0.15777777777777777, 0.20333333333333334, 0.23333333333333334, 0.24333333333333335, 0.24444444444444444, 0.24444444444444444, 0.24, 0.23777777777777778, 0.23777777777777778, 0.23777777777777778, 0.23777777777777778]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017795900930650532, 0.049597834004089236, 0.09844045899808407, 0.14747729200462345, 0.19664224999723956, 0.2453292499994859, 0.2935006670013536, 0.342437459010398, 0.3911693340050988, 0.43954162500449456, 0.4878962090006098, 0.536251416997402, 0.584635959006846, 0.6327401669987012, 0.6816660839976976, 0.7308621670090361, 0.7798262090072967, 0.828469917003531, 0.8769942500075558, 0.9256941670028027, 0.973802667009295, 1.0227012090035714, 1.0719159169966588, 1.1206709999969462, 1.169271042002947, 1.2178374170034658, 1.2665432500070892, 1.3158637919987086, 1.3654959590057842, 1.4152846250071889, 1.4656535000103759, 1.515219959008391, 1.5646737500064773, 1.6145557090057991, 1.6639256250055041]",114.07550070800062,,,74.72492704099568,94.16276649999782,118.60125912500371,,827534,2,2024-02-07_11h00.30.559,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827534,2,2024-02-07_11h00.30.559,WythoffsHumanExp,2023.1.3,None,
