games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,mouse.started,recall_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834625,001,2023-10-16_11h04.38.220,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834625,001,2023-10-16_11h04.38.220,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,13.303502458991716,,,,,,,,,,,,834625,001,2023-10-16_11h04.38.220,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],20.28801120899152,,,,,834625,001,2023-10-16_11h04.38.220,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,"[-0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556, -0.40555555555555556]","[0.41444444444444445, 0.41444444444444445, 0.41444444444444445, 0.41444444444444445, 0.41444444444444445]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.0001755000266712159, 0.0497330840153154, 0.09878741702414118, 0.14820145900011994, 0.19773420901037753]",30.221488250012044,0.02267429098719731,,,,834625,001,2023-10-16_11h04.38.220,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.028606500010937,,,834625,001,2023-10-16_11h04.38.220,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834625,001,2023-10-16_11h04.38.220,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.98528979200637,,834625,001,2023-10-16_11h04.38.220,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.492674292006996,834625,001,2023-10-16_11h04.38.220,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.41, -0.4033333333333333, -0.3622222222222222, -0.33666666666666667, -0.33111111111111113, -0.3233333333333333, -0.3111111111111111, -0.31, -0.3244444444444444, -0.37222222222222223, -0.4022222222222222, -0.41333333333333333, -0.42444444444444446, -0.43, -0.43]","[0.2088888888888889, 0.21444444444444444, 0.24222222222222223, 0.2544444444444444, 0.25555555555555554, 0.25666666666666665, 0.26, 0.2588888888888889, 0.24222222222222223, 0.2011111111111111, 0.17444444444444446, 0.16555555555555557, 0.15555555555555556, 0.15222222222222223, 0.15222222222222223]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00042191598913632333, 0.05009425000753254, 0.0995590410020668, 0.1492675410117954, 0.1988321660028305, 0.24853270800667815, 0.2985069160058629, 0.34816433300147764, 0.3980556660098955, 0.44775133300572634, 0.49750879101338796, 0.5474070410127752, 0.5975152500031982, 0.6477318330144044, 0.6970917500148062]",72.69218595899292,0.042320833017583936,,,,,,,,,,
