games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,mouse.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,862911,001,2023-10-06_10h46.52.603,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,862911,001,2023-10-06_10h46.52.603,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,14.733719999998357,,,,,,,,,862911,001,2023-10-06_10h46.52.603,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,[],[],[],[],[],[],,,862911,001,2023-10-06_10h46.52.603,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,22.03298616599932,,862911,001,2023-10-06_10h46.52.603,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,"[0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.10444444444444445, 0.09666666666666666, 0.07333333333333333, 0.042222222222222223, 0.02, 0.014444444444444444, 0.014444444444444444, 0.014444444444444444, 0.014444444444444444, 0.014444444444444444, 0.014444444444444444, 0.01, -0.03222222222222222, -0.09222222222222222, -0.12333333333333334, -0.13111111111111112, -0.13111111111111112, -0.13111111111111112, -0.13111111111111112, -0.13111111111111112, -0.13111111111111112, -0.14777777777777779, -0.19333333333333333, -0.23444444444444446, -0.25222222222222224, -0.25222222222222224, -0.25222222222222224, -0.25222222222222224, -0.25222222222222224, -0.2588888888888889, -0.31777777777777777, -0.38666666666666666, -0.41444444444444445, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778, -0.4177777777777778]","[-0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.022222222222222223, -0.02666666666666667, -0.035555555555555556, -0.03666666666666667, -0.03333333333333333, -0.03222222222222222, -0.03222222222222222, -0.03222222222222222, -0.03222222222222222, -0.03222222222222222, -0.03222222222222222, -0.03222222222222222, -0.017777777777777778, 0.014444444444444444, 0.03333333333333333, 0.03777777777777778, 0.03777777777777778, 0.03777777777777778, 0.03777777777777778, 0.03777777777777778, 0.03777777777777778, 0.04111111111111111, 0.058888888888888886, 0.08333333333333333, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.09444444444444444, 0.11333333333333333, 0.14888888888888888, 0.1622222222222222, 0.16333333333333333, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222, 0.1622222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017420800031686667, 0.049700292000125046, 0.09925995800040255, 0.14890145800018217, 0.19813812500069616, 0.2474797499999113, 0.29727462499977264, 0.3470372079991648, 0.39767112499976065, 0.4469284169990715, 0.4961553749999439, 0.545297708000362, 0.5943204579998564, 0.6431411249996017, 0.6920701670005656, 0.7410899999995308, 0.7903402920001099, 0.8392668329997832, 0.8877635829994688, 0.9363972079991072, 0.9848875829993631, 1.0333039580000332, 1.0825971249996655, 1.132375957999102, 1.1818403329998546, 1.2314899169996352, 1.2813076250004087, 1.3302141250005661, 1.380165250000573, 1.4296952499989857, 1.4782957080005872, 1.527024999999412, 1.5755363749995013, 1.6244536670001253, 1.6736993750000693, 1.7230659580000065, 1.772035166999558, 1.8207121249997726, 1.8694060420002643, 1.9181726669994532, 1.9667726669995318, 2.0159222500005853, 2.0639723330004927, 2.1134524999997666, 2.1627136249990144, 2.211972999999489, 2.2613235419994453, 2.3103088329989987, 2.3588341670001682, 2.407499667000593, 2.4560346670004947, 2.504868957999861, 2.5537231670004985, 2.602553832999547, 2.6513070420005533, 2.699753832999704, 2.7490148750002845, 2.7990380419996654, 2.8481889169997885, 2.897593166999286, 2.947193250000055, 2.9966343750002125, 3.0459261249998235, 3.0949137499992503, 3.1442787500000122, 3.1932142919995385, 3.2415226249995612, 3.290096917000483, 3.338920916999996, 3.387650874999963, 3.4363412919992697, 3.4852290830003767, 3.5336768750003102, 3.5827497499994934, 3.6322908749989438, 3.68218374999924, 3.731536666999091, 3.7811878329994215, 3.8306942919989524, 3.880564749999394, 3.9305629169994063, 3.981165791999956, 4.03204979200018, 4.082075416999942, 4.132487958000638, 4.182637542000521, 4.232712999999421, 4.28269066699977, 4.3320559580006375, 4.381266082998991, 4.430771041999833, 4.480714499999522, 4.532168083000215, 4.582375250000041, 4.632668624999496, 4.682340416999068, 4.732039374999658, 4.781764707999173, 4.831317874999513, 4.880798332998893, 4.931359624999459, 4.981206208000003, 5.031280457998946, 5.081539208000322, 5.132119874999262, 5.182771916999627, 5.232549250000375, 5.282656291999956, 5.332059082998967, 5.38211895799941, 5.432655291999254, 5.483019082999817, 5.532897666998906, 5.582915375000084, 5.63293133300067, 5.682531541999197, 5.732242333000613, 5.7822929579997435, 5.831512749999092, 5.880916707999859, 5.930775917000574, 5.980810957998983, 6.030807625000307, 6.080916124999931, 6.131451291999838, 6.180952875000003, 6.230743292000625, 6.280456791999313, 6.330175499999314, 6.379760166999404, 6.429679082999428, 6.478667916999257, 6.528304207999099, 6.577423832999557]",,0.044887499998367275,862911,001,2023-10-06_10h46.52.603,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,"[-0.5788888888888889, -0.5788888888888889, -0.5788888888888889, -0.5788888888888889, -0.5788888888888889, -0.5788888888888889, -0.5688888888888889, -0.5455555555555556, -0.5177777777777778, -0.4888888888888889, -0.47888888888888886, -0.4711111111111111, -0.4633333333333333, -0.4533333333333333, -0.44333333333333336, -0.4288888888888889, -0.4255555555555556, -0.42444444444444446]","[-0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.016666666666666666, 0.0811111111111111, 0.2011111111111111, 0.2922222222222222, 0.35777777777777775, 0.3811111111111111, 0.39222222222222225, 0.4, 0.4066666666666667, 0.4111111111111111, 0.41555555555555557, 0.4166666666666667, 0.4166666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.000189124999451451, 0.05023816699940653, 0.10020933399937348, 0.14904629199918418, 0.19903720900038024, 0.25017087499873014, 0.2999516669988225, 0.34990674999971816, 0.40084174999901734, 0.4513473749993864, 0.5016109589996631, 0.5517762090003089, 0.6013716670004214, 0.6510144169988052, 0.7006066670001019, 0.7505871249995835, 0.8006090839990065, 0.8508866669999406]",,0.04059508399950573,862911,001,2023-10-06_10h46.52.603,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,41.64852029099893,,862911,001,2023-10-06_10h46.52.603,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,"[-0.40444444444444444, -0.40444444444444444, -0.4, -0.3988888888888889, -0.3988888888888889, -0.3988888888888889, -0.4, -0.4011111111111111, -0.4022222222222222, -0.4022222222222222, -0.4022222222222222]","[0.4288888888888889, 0.4311111111111111, 0.44222222222222224, 0.44222222222222224, 0.4411111111111111, 0.4388888888888889, 0.43444444444444447, 0.42333333333333334, 0.41555555555555557, 0.41333333333333333, 0.4122222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00040249999983643647, 0.05135591600082989, 0.10147383299954527, 0.15229275000092457, 0.20216212500054098, 0.25202429099954315, 0.30204379099996004, 0.35239008300050045, 0.4023689160003414, 0.45286750000013853, 0.5024346659993171]",,0.041328625000460306,862911,001,2023-10-06_10h46.52.603,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,47.87804087499899,,,,,,,,
