games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,section_1_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,901194,001,2023-10-12_12h58.58.316,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,901194,001,2023-10-12_12h58.58.316,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,77.46108525000454,,,,,,,,,,,901194,001,2023-10-12_12h58.58.316,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,0.030531916010659188,"[-0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889, -0.3388888888888889]","[0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667]","[0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017341700731776655, 0.04909983401012141, 0.09793345900834538, 0.1475779590109596, 0.19709070899989456, 0.24658983400149737, 0.2961803340003826, 0.34642191699822433, 0.3965216250071535]",,,,901194,001,2023-10-12_12h58.58.316,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,0.0010285419994033873,"[-0.4288888888888889, -0.4288888888888889, -0.42777777777777776, -0.42777777777777776]","[0.4066666666666667, 0.4066666666666667, 0.4077777777777778, 0.4077777777777778]","[0, 0, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0003885000041918829, 0.050773000009940006, 0.10088112500670832, 0.15058179199695587]",,,,901194,001,2023-10-12_12h58.58.316,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,86.90633650000382,,,901194,001,2023-10-12_12h58.58.316,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,[],[],[],[],[],[],,,,901194,001,2023-10-12_12h58.58.316,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,,0.04512570900260471,"[-0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24555555555555555, -0.24444444444444444, -0.24444444444444444, -0.24444444444444444, -0.24555555555555555, -0.24666666666666667, -0.24666666666666667, -0.2477777777777778, -0.24888888888888888, -0.25222222222222224, -0.2644444444444444, -0.29, -0.31444444444444447, -0.33444444444444443, -0.34555555555555556, -0.35, -0.3522222222222222, -0.3522222222222222, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333]","[0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.30666666666666664, 0.3055555555555556, 0.30444444444444446, 0.30333333333333334, 0.29444444444444445, 0.2833333333333333, 0.27666666666666667, 0.2733333333333333, 0.27111111111111114, 0.2688888888888889, 0.26555555555555554, 0.2688888888888889, 0.27666666666666667, 0.2788888888888889, 0.2822222222222222, 0.2866666666666667, 0.28888888888888886, 0.28888888888888886, 0.2877777777777778, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017729199316818267, 0.04919162500300445, 0.09823820799647365, 0.14718904199253302, 0.1960929579945514, 0.24567987499176525, 0.2951976670010481, 0.34529570800077636, 0.3951048750022892, 0.4445802919944981, 0.4941895419906359, 0.5438634579913924, 0.5936289169912925, 0.6436209169914946, 0.6940344169997843, 0.7433787499903701, 0.7926511669938918, 0.8413549169927137, 0.8907939170021564, 0.9404902079986641, 0.9903121669922257, 1.0409420829964802, 1.0909602920000907, 1.1405631669913419, 1.1904350830009207, 1.2401515829988057, 1.290028874995187, 1.339574541998445, 1.3892293749959208, 1.4390091249952093, 1.4887492080015363, 1.5384810830000788, 1.5880350829975214, 1.6379814579995582, 1.6876446249953005, 1.737286874995334, 1.786592374992324, 1.8363657500012778, 1.8860324999986915, 1.9355483749968698, 1.9850324580038432]",,,,901194,001,2023-10-12_12h58.58.316,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,2,0,2,0,,,,,,0.01645999999891501,"[-0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.35333333333333333, -0.37333333333333335, -0.3933333333333333, -0.3988888888888889, -0.4, -0.4011111111111111]","[0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.2866666666666667, 0.29, 0.3377777777777778, 0.39, 0.41, 0.41444444444444445, 0.41555555555555557]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00018000000272877514, 0.05022837499564048, 0.0995397079968825, 0.14872812500107102, 0.19821441700332798, 0.24866045800445136, 0.3003045000077691, 0.35115979200054426, 0.40259091700136196, 0.4529748750064755, 0.5028289170004427, 0.5535436250065686, 0.6035903330048313, 0.6524892500019632, 0.7011754999984987, 0.7502075420052279, 0.7999542080069659, 0.8493976250028936, 0.8989501670002937, 0.9484869169973535, 0.9981643329956569, 1.0476460000063526, 1.0968684580002446, 1.145797749995836, 1.1946045829972718, 1.2433071669947822, 1.2922628749947762, 1.3406312919978518, 1.3890902499988442, 1.4385681669955375, 1.4880133749975357, 1.5369752499973401, 1.5856651670037536, 1.6344267920067068, 1.68329379199713, 1.732748416994582, 1.7821600000024773, 1.831751792007708, 1.8816083749989048, 1.9316237919993, 1.9808320419979282, 2.0306737500068266, 2.0803080830082763, 2.1293962500058115, 2.1783557500020834, 2.226755541996681, 2.276048166997498, 2.3253970829973696, 2.3739821250055684, 2.4228552080021473, 2.4717971670033876, 2.52059845799522, 2.569619000001694, 2.6183809579961235, 2.6675705420057056, 2.716697458003182, 2.7659814579965314, 2.81612312499783, 2.865366041995003, 2.9148831670026993, 2.9643686250055907, 3.0142224580049515, 3.06380179199914, 3.1134263330022804, 3.162824333005119, 3.211445624998305, 3.2603198750002775, 3.3093277080042753, 3.3582567919947905, 3.407095250004204, 3.4558597919967724, 3.50502774999768, 3.554542917001527, 3.603997625003103, 3.653512042001239, 3.7022397920081858, 3.7510966249974445, 3.7997895419975976, 3.849663542001508, 3.8992696670029545, 3.949224249998224, 3.9990191670076456, 4.0481709580053575, 4.097557542001596, 4.1469534170028055, 4.202273957998841, 4.252327082998818, 4.301844792003976, 4.350664958008565, 4.399521792001906, 4.448820207995595, 4.4984079169953475, 4.548196749994531, 4.597606708004605, 4.647790457995143, 4.697134208006901, 4.746612582996022, 4.795699541995418, 4.8449072079965845, 4.893766791996313, 4.942330874997424, 4.99148562499613, 5.040587916999357, 5.0898190419975435, 5.1386705830082064, 5.187318875003257, 5.236067457997706, 5.284996875008801, 5.333721957998932, 5.383001374997548, 5.432677707998664, 5.482273500005249, 5.532386999999289, 5.5816776669962564, 5.630873125002836, 5.680271999997785, 5.729469625002821, 5.778279958001804, 5.827071417006664, 5.876210041999002, 5.925742250008625, 5.975374500005273, 6.024252792005427, 6.073055333006778, 6.121917458003736, 6.170928916995763, 6.219663916999707, 6.267904249994899, 6.316458582994528, 6.366270625003381, 6.415960375001305, 6.464991542001371, 6.514270041996497, 6.563397917008842, 6.612382000006619, 6.661100917001022, 6.710027249995619, 6.758941457999754, 6.808207249996485, 6.857368625001982, 6.906384750007419, 6.954896458002622, 7.003692625003168, 7.052320917006, 7.1007262079947395, 7.149254042000393, 7.198725666996324, 7.248486166994553, 7.297900000005029, 7.347859041998163, 7.397106375006842, 7.4467432079982245, 7.495616083004279, 7.54440075000457, 7.593195958004799, 7.642225125004188, 7.691064750004443, 7.740249499998754, 7.789518167002825, 7.838113375008106, 7.887344832997769, 7.935851041998831, 7.984522416998516, 8.033310083003016, 8.082601707996218, 8.132341457996517, 8.182019208004931, 8.232154666999122, 8.281483833008679, 8.330617375002475, 8.38005120800517, 8.429038250003941, 8.478498042008141, 8.527705750006135, 8.576613708006334, 8.625335624994477, 8.673981625004672, 8.7225821250031, 8.771305208007107, 8.819986874994356, 8.868795457994565, 8.917331375007052, 8.966443458004505, 9.016048707999289, 9.065571208004258, 9.115172582998639, 9.165195624998887, 9.214802707996569, 9.264262666998548, 9.313665374997072, 9.36266841700126, 9.411750208004378, 9.460831832999247, 9.509615832997952, 9.558615125002689, 9.606836167004076, 9.655901499994798, 9.704489583004033, 9.753078124995227, 9.801726624995354, 9.850705292003113, 9.89924087500549, 9.94875716700335, 9.998568583003362, 10.048261457995977, 10.09850320800615, 10.147906458005309, 10.197041332998197, 10.246379500007606, 10.295150082994951, 10.34418887499487, 10.392967916995985, 10.441751207996276, 10.491053833000478, 10.539987541997107, 10.58884525000758, 10.63807437500509, 10.687638167000841, 10.737419458004297, 10.786801458001719, 10.83600245800335, 10.885375875004684, 10.935197041995707]",,,,901194,001,2023-10-12_12h58.58.316,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,111.02220954101358,,,901194,001,2023-10-12_12h58.58.316,WythoffsHumanExp,2023.1.3,None,
