games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,recall_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,29.223734875005903,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,38.94320870799129,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,1,0,1,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,48.85815754099167,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,0,0,0,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,1,0,1,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,2,0,2,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,3,0,3,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,4,0,4,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
2,0,2,0,,,,,,123.58941187500022,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,0,0,0,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,1,0,1,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
3,0,3,0,,,,,,134.24379199999385,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,0,0,0,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,1,0,1,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
4,0,4,0,,,,,,143.73748691601213,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,0,0,0,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
5,0,5,0,,,,,,150.15217941600713,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,0,0,0,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,1,0,1,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,2,0,2,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,3,0,3,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,4,0,4,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
6,0,6,0,,,,,,202.32258316600928,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,0,0,0,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
7,0,7,0,,,,,,209.00249791599344,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,0,0,0,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,1,0,1,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,2,0,2,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
8,0,8,0,,,,,,231.62237529098638,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,0,0,0,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,1,0,1,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,2,0,2,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,3,0,3,0,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
9,0,9,0,,,,,,257.82220604098984,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,261.9433648750128,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,262.9036774999986,905203,001,2023-10-05_13h53.40.071,WythoffsHumanExp,2023.1.3,None,
