games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,imagine_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,911433,004,2023-10-06_16h34.22.375,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,911433,004,2023-10-06_16h34.22.375,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,13.022740291002265,,,,,,,,,,,911433,004,2023-10-06_16h34.22.375,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,,,,,,[],[],[],[],[],[],,,,,911433,004,2023-10-06_16h34.22.375,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,,,,,,"[-0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.4122222222222222, -0.35, -0.24888888888888888, -0.21333333333333335, -0.20555555555555555, -0.20777777777777778, -0.22, -0.23666666666666666, -0.24888888888888888, -0.25222222222222224, -0.25222222222222224, -0.25222222222222224, -0.25555555555555554, -0.26555555555555554, -0.29, -0.31555555555555553, -0.3288888888888889, -0.3322222222222222, -0.33444444444444443, -0.3422222222222222, -0.3488888888888889, -0.3488888888888889]","[0.41, 0.41, 0.41, 0.41, 0.41, 0.41, 0.41, 0.41, 0.41, 0.41, 0.3611111111111111, 0.27111111111111114, 0.22777777777777777, 0.21555555555555556, 0.21444444444444444, 0.21888888888888888, 0.22444444444444445, 0.22666666666666666, 0.22666666666666666, 0.22555555555555556, 0.22333333333333333, 0.2222222222222222, 0.2288888888888889, 0.24555555555555555, 0.26222222222222225, 0.2722222222222222, 0.27666666666666667, 0.2788888888888889, 0.2833333333333333, 0.28888888888888886, 0.28888888888888886]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00017545799710205756, 0.0495219169970369, 0.09865724999690428, 0.1477597919983964, 0.1967502079969563, 0.2457161249985802, 0.29402620799737633, 0.3429886669982807, 0.39279029200042714, 0.44226408299800823, 0.492211041997507, 0.5415539579989854, 0.590858332998323, 0.640207417000056, 0.6895122079986322, 0.7390368749984191, 0.7884495830003289, 0.837684124999214, 0.8864652499978547, 0.9360244999988936, 0.9854322920000413, 1.035139874999004, 1.0849303750001127, 1.135315042000002, 1.1849190829998406, 1.2343770829975256, 1.2841398749988002, 1.3342290420005156, 1.384582667000359, 1.435298917000182, 1.485535166997579]",0.030396958001801977,,,,911433,004,2023-10-06_16h34.22.375,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,2,0,2,0,,,,,,,,,,"[-0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556, -0.4255555555555556]","[0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887, 0.41888888888888887]","[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.00017825000031734817, 0.04965824999817414, 0.09864262499831966, 0.14763779200075078, 0.19712341699778335, 0.2462272499979008, 0.2963079170003766, 0.34676983399913297]",0.020200292001391063,,,,911433,004,2023-10-06_16h34.22.375,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,26.11084083300011,,,911433,004,2023-10-06_16h34.22.375,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,,,,,,"[-0.40444444444444444, -0.40444444444444444, -0.40444444444444444, -0.40444444444444444, -0.40444444444444444, -0.40444444444444444, -0.40444444444444444, -0.40444444444444444]","[0.3477777777777778, 0.3477777777777778, 0.3477777777777778, 0.3477777777777778, 0.3477777777777778, 0.3477777777777778, 0.3477777777777778, 0.3477777777777778]","[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.00017387499974574894, 0.049815541999123525, 0.09906037499968079, 0.14848370799882105, 0.19750849999763886, 0.24716837499727262, 0.2977772919985, 0.34829924999939976]",0.02812400000038906,,,,911433,004,2023-10-06_16h34.22.375,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,135.2986865410021,,,911433,004,2023-10-06_16h34.22.375,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,911433,004,2023-10-06_16h34.22.375,WythoffsHumanExp,2023.1.3,None,
