games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,intervention_games.thisRepN,intervention_games.thisTrialN,intervention_games.thisN,intervention_games.thisIndex,intervention_moves.thisRepN,intervention_moves.thisTrialN,intervention_moves.thisN,intervention_moves.thisIndex,more_games.thisRepN,more_games.thisTrialN,more_games.thisN,more_games.thisIndex,more_turns.thisRepN,more_turns.thisTrialN,more_turns.thisN,more_turns.thisIndex,section_1_text.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,status_text.started,imagine_text.started,section_2_text.started,section_3_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915138,000,2023-10-16_15h03.37.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915138,000,2023-10-16_15h03.37.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,23.41685191699071,,,,,,,,,,,,915138,000,2023-10-16_15h03.37.594,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"[-0.40555555555555556, -0.40555555555555556, -0.4077777777777778, -0.4077777777777778, -0.4077777777777778, -0.4088888888888889, -0.4111111111111111, -0.4111111111111111]","[0.4022222222222222, 0.4022222222222222, 0.4033333333333333, 0.4033333333333333, 0.4033333333333333, 0.40444444444444444, 0.40444444444444444, 0.40444444444444444]","[0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.00039612501859664917, 0.049365750019205734, 0.09846212502452545, 0.14727495901752263, 0.19606320900493301, 0.24462608402245678, 0.2936545840057079, 0.3418517500103917]",0.024422874994343147,37.87341075000586,,,,915138,000,2023-10-16_15h03.37.594,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,"[-0.35777777777777775, -0.35777777777777775, -0.35777777777777775, -0.35777777777777775, -0.35777777777777775, -0.35777777777777775, -0.35777777777777775, -0.35777777777777775, -0.35777777777777775, -0.3655555555555556, -0.39, -0.41, -0.41888888888888887, -0.4211111111111111, -0.42333333333333334, -0.42444444444444446, -0.42444444444444446, -0.42444444444444446, -0.42444444444444446, -0.42444444444444446, -0.42444444444444446]","[0.11666666666666667, 0.11666666666666667, 0.11666666666666667, 0.11666666666666667, 0.11666666666666667, 0.11666666666666667, 0.11666666666666667, 0.11666666666666667, 0.11666666666666667, 0.13555555555555557, 0.23444444444444446, 0.3411111111111111, 0.36444444444444446, 0.3688888888888889, 0.37444444444444447, 0.3811111111111111, 0.39111111111111113, 0.40444444444444444, 0.41, 0.41, 0.41]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0002840409870259464, 0.051385041006142274, 0.10254845800227486, 0.15354816601029597, 0.20449304100475274, 0.2555285829876084, 0.30427125000278465, 0.35318612499395385, 0.4017534999875352, 0.4506142910104245, 0.4993372499884572, 0.5483571249933448, 0.5973387910053134, 0.6462401660101023, 0.6954254159936681, 0.7442023330077063, 0.7928967080079019, 0.8414354579872452, 0.8896682909980882, 0.9393068749923259, 0.9886985000048298]",0.03072554199025035,51.385138999990886,,,,915138,000,2023-10-16_15h03.37.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915138,000,2023-10-16_15h03.37.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.745905124989804,,,915138,000,2023-10-16_15h03.37.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.03500783297932,,915138,000,2023-10-16_15h03.37.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.56900083299843,915138,000,2023-10-16_15h03.37.594,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.2922222222222222, -0.2922222222222222, -0.2922222222222222, -0.2922222222222222, -0.2922222222222222, -0.2922222222222222, -0.2922222222222222, -0.2922222222222222, -0.2922222222222222, -0.2922222222222222, -0.32555555555555554, -0.38555555555555554, -0.4211111111111111, -0.4255555555555556, -0.4255555555555556, -0.4266666666666667, -0.4266666666666667, -0.4266666666666667, -0.42444444444444446, -0.42, -0.42]","[0.3522222222222222, 0.3522222222222222, 0.3522222222222222, 0.3522222222222222, 0.3522222222222222, 0.3522222222222222, 0.3522222222222222, 0.3522222222222222, 0.3522222222222222, 0.3522222222222222, 0.36666666666666664, 0.4122222222222222, 0.44555555555555554, 0.4477777777777778, 0.4477777777777778, 0.4411111111111111, 0.43444444444444447, 0.4311111111111111, 0.4211111111111111, 0.41444444444444445, 0.41444444444444445]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00020000000949949026, 0.04865025001345202, 0.09633749999920838, 0.1449904589971993, 0.19273966702166945, 0.24025554201216437, 0.28750175001914613, 0.3349317920219619, 0.3824501670023892, 0.43037283400190063, 0.4789142920053564, 0.5277069169969764, 0.5757592919981107, 0.6236980420071632, 0.6720445420069154, 0.7208291669958271, 0.7694121670210734, 0.8176790419965982, 0.8660971250210423, 0.9145589169929735, 0.9626509170047939]",0.046107917005429044,124.50442108299467,,,,,,,,,,
