games.thisRepN,games.thisTrialN,games.thisN,games.thisIndex,turns.thisRepN,turns.thisTrialN,turns.thisN,turns.thisIndex,section_1_text.started,status_text.started,imagine_text.started,section_2_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,966537,00,2023-10-02_13h39.52.280,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,966537,00,2023-10-02_13h39.52.280,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,12.712671667002724,,,,966537,00,2023-10-02_13h39.52.280,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,0,0,0,0,,,,,966537,00,2023-10-02_13h39.52.280,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,1,0,1,0,,,,,966537,00,2023-10-02_13h39.52.280,WythoffsHumanExp,2023.1.3,None,
0,0,0,0,,,,,,23.99763654200069,,,966537,00,2023-10-02_13h39.52.280,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,0,0,0,0,,,,,966537,00,2023-10-02_13h39.52.280,WythoffsHumanExp,2023.1.3,None,
1,0,1,0,,,,,,29.79364324999915,,,966537,00,2023-10-02_13h39.52.280,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,,966537,00,2023-10-02_13h39.52.280,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,30.309682750012144,,966537,00,2023-10-02_13h39.52.280,WythoffsHumanExp,2023.1.3,None,
,,,,,,,,,,,55.16686662500433,966537,00,2023-10-02_13h39.52.280,WythoffsHumanExp,2023.1.3,None,
