,session,section,type,game,ref_game,move_num,player,start_row,start_col,end_row,end_col,RT,DT,winner,chosen_winner
0,2,0,,1,,1,human,9,4,2,4,5.704609874985181,5.750213082996197,AI,
1,2,0,,1,,2,AI,2,4,2,3,,1.25,AI,
2,2,0,,1,,3,human,2,3,2,2,3.596154541010037,3.6416308330080938,AI,
3,2,0,,1,,4,AI,2,2,2,1,,1.25,AI,
4,2,0,,1,,5,human,2,1,0,1,5.518627415993251,5.563057916006073,AI,
5,2,0,,1,,6,AI,0,1,0,0,,1.25,AI,
6,2,0,,2,,1,AI,6,0,5,0,,1.25,human,
7,2,0,,2,,2,human,5,0,0,0,2.0972678330144845,2.142841416003648,human,
8,2,0,,3,,1,human,0,2,0,0,1.5766190830036066,1.6219034579989966,human,
9,2,1,,1,,1,AI,1,2,0,2,,1.25,human,
10,2,1,,1,,2,human,0,2,0,0,1.2704238329897635,1.3152964169858024,human,
11,2,1,,2,,1,human,9,14,9,0,3.2880099579924718,3.332908332988154,human,
12,2,1,,2,,2,AI,9,0,7,0,,1.25,human,
13,2,1,,2,,3,human,7,0,0,0,2.231907500012312,2.276603292004438,human,
14,2,1,,3,,1,human,8,5,8,0,1.9629004160233308,2.0077655410277657,human,
15,2,1,,3,,2,AI,8,0,7,0,,1.25,human,
16,2,1,,3,,3,human,7,0,0,0,1.6052607919846196,1.6497438329970464,human,
17,2,1,,4,,1,AI,10,14,6,10,,1.25,human,
18,2,1,,4,,2,human,6,10,6,0,1.6081241669890005,1.6529184590035584,human,
19,2,1,,4,,3,AI,6,0,1,0,,1.25,human,
20,2,1,,4,,4,human,1,0,0,0,1.8040324999892619,1.849110249982914,human,
21,2,1,,5,,1,human,1,0,0,0,1.413900832994841,1.4579698750167154,human,
22,2,1,,6,,1,AI,6,9,1,9,,1.25,AI,
23,2,1,,6,,2,human,1,9,1,0,1.7559281249996275,1.801167625002563,AI,
24,2,1,,6,,3,AI,1,0,0,0,,1.25,AI,
25,2,1,,7,,1,human,10,1,10,0,1.1307579160202295,1.1755531660164706,human,
26,2,1,,7,,2,AI,10,0,9,0,,1.25,human,
27,2,1,,7,,3,human,9,0,0,0,1.8965657090011518,1.9410162499989383,human,
28,2,1,,8,,1,AI,7,1,2,1,,1.25,AI,
29,2,1,,8,,2,human,2,1,2,0,4.369568333000643,4.414239042002009,AI,
30,2,1,,8,,3,AI,2,0,0,0,,1.25,AI,
31,2,1,,9,,1,human,8,1,8,0,1.3779480830125976,1.4233735000016168,AI,
32,2,1,,9,,2,AI,8,0,0,0,,1.25,AI,
33,2,1,,10,,1,AI,14,6,14,2,,1.25,AI,
34,2,1,,10,,2,human,14,2,2,2,1.7584714170079678,1.8031222500139847,AI,
35,2,1,,10,,3,AI,2,2,2,1,,1.25,AI,
36,2,1,,10,,4,human,2,1,1,1,4.812365291989408,4.85696912498679,AI,
37,2,1,,10,,5,AI,1,1,0,0,,1.25,AI,
38,2,1,,11,,1,AI,10,12,0,2,,1.25,human,
39,2,1,,11,,2,human,0,2,0,0,2.427245208004024,2.4718906249909196,human,
40,2,1,,12,,1,human,10,0,0,0,5.922262958018109,5.966891292016953,human,
41,2,1,,13,,1,AI,6,5,2,1,,1.25,AI,
42,2,1,,13,,2,human,2,1,1,1,3.6949102499929722,3.739356250007404,AI,
43,2,1,,13,,3,AI,1,1,0,0,,1.25,AI,
44,2,1,,14,,1,AI,9,13,5,13,,1.25,human,
45,2,1,,14,,2,human,5,13,5,1,2.2932662079983857,2.3377875830046833,human,
46,2,1,,14,,3,AI,5,1,4,1,,1.25,human,
47,2,1,,14,,4,human,4,1,3,0,4.378076291992329,4.423156417004066,human,
48,2,1,,14,,5,AI,3,0,2,0,,1.25,human,
49,2,1,,14,,6,human,2,0,0,0,2.571109125012299,2.6155426249897573,human,
50,2,1,,15,,1,human,9,11,0,2,9.066867957997601,9.111857415991835,AI,
51,2,1,,15,,2,AI,0,2,0,0,,1.25,AI,
52,2,1,,16,,1,AI,3,0,0,0,,1.25,AI,
53,2,1,,17,,1,AI,13,13,0,0,,1.25,AI,
54,2,1,,18,,1,human,0,12,0,0,1.6226228330051526,1.6672124169999734,human,
55,2,1,,19,,1,human,7,14,0,7,1.8123703749733977,1.8574490419996437,human,
56,2,1,,19,,2,AI,0,7,0,6,,1.25,human,
57,2,1,,19,,3,human,0,6,0,0,1.6120843749959022,1.6570506249845494,human,
58,2,1,,20,,1,human,12,10,12,0,1.7121932079899125,1.7567000419949181,human,
59,2,1,,20,,2,AI,12,0,11,0,,1.25,human,
60,2,1,,20,,3,human,11,0,0,0,1.753828999993857,1.7993051669909619,human,
61,2,1,,21,,1,AI,8,11,0,11,,1.25,human,
62,2,1,,21,,2,human,0,11,0,0,1.6560876250150613,1.7008566670119762,human,
63,2,1,,22,,1,human,11,9,3,1,3.1327711250050925,3.1776324170059524,AI,
64,2,1,,22,,2,AI,3,1,2,1,,1.25,AI,
65,2,1,,22,,3,human,2,1,1,0,12.498400540993316,12.543856250005774,AI,
66,2,1,,22,,4,AI,1,0,0,0,,1.25,AI,
67,2,1,,23,,1,AI,6,3,5,2,,1.25,human,
68,2,1,,23,,2,human,5,2,5,0,3.0186635839927476,3.0633052500197664,human,
69,2,1,,23,,3,AI,5,0,1,0,,1.25,human,
70,2,1,,23,,4,human,1,0,0,0,2.6735253329970874,2.7182861249893904,human,
71,2,1,,24,,1,AI,4,12,4,7,,1.25,AI,
72,2,1,,24,,2,human,4,7,4,0,2.831022792001022,2.875945333013078,AI,
73,2,1,,24,,3,AI,4,0,0,0,,1.25,AI,
74,2,1,,25,,1,AI,6,9,6,2,,1.25,human,
75,2,1,,25,,2,human,6,2,1,2,3.5078537090157624,3.552421583997784,human,
76,2,1,,25,,3,AI,1,2,0,1,,1.25,human,
77,2,1,,25,,4,human,0,1,0,0,1.8595915000187233,1.9048032910213806,human,
78,2,1,,26,,1,human,0,1,0,0,1.3248693330097012,1.369635582988849,human,
79,2,1,,27,,1,human,11,11,11,1,3.6557298749976326,3.7005422080110293,human,
80,2,1,,27,,2,AI,11,1,3,1,,1.25,human,
81,2,1,,27,,3,human,3,1,3,0,4.370877334004035,4.415967750013806,human,
82,2,1,,27,,4,AI,3,0,1,0,,1.25,human,
83,2,1,,27,,5,human,1,0,0,0,1.8512011250131764,1.8959922909853049,human,
84,2,1,,28,,1,human,7,6,7,0,2.1055377080047037,2.1503254169947468,AI,
85,2,1,,28,,2,AI,7,0,0,0,,1.25,AI,
86,2,1,,29,,1,human,13,4,9,0,3.975690040999325,4.0207141659921035,human,
87,2,1,,29,,2,AI,9,0,4,0,,1.25,human,
88,2,1,,29,,3,human,4,0,0,0,4.823113791004289,4.868419875012478,human,
89,2,1,,30,,1,AI,0,13,0,6,,1.25,human,
90,2,1,,30,,2,human,0,6,0,0,1.8614556250104215,1.9072232090111356,human,
91,2,2,img,1,11,,,10,12,,,,9.368975791003322,,AI
92,2,2,img,2,13,,,6,5,,,,4.302292666019639,,AI
93,2,2,img,3,19,,,7,14,,,,1.1059122089936864,,human
94,2,2,img,4,14,,,9,13,,,,1.7753002499812283,,human
95,2,2,img,5,27,,,11,11,,,,1.144729332998395,,AI
96,2,2,img,6,20,,,12,10,,,,1.4003981669957284,,AI
97,2,2,img,7,4,,,10,14,,,,1.521219459013082,,AI
98,2,2,img,8,29,,,13,4,,,,1.021960542013403,,human
99,2,2,img,9,2,,,9,14,,,,1.0336020830145571,,human
100,2,2,img,10,17,,,13,13,,,,1.226648749987362,,AI
101,2,2,img,11,10,,,14,6,,,,1.434887916984735,,AI
102,2,2,img,12,5,,,1,0,,,,1.1993939580279402,,AI
103,2,2,img,13,16,,,3,0,,,,1.1122419580060523,,human
104,2,2,img,14,26,,,0,1,,,,1.2968782499956433,,human
105,2,2,img,15,3,,,8,5,,,,1.5961045419971924,,AI
106,2,2,img,16,15,,,9,11,,,,0.8956790830125101,,AI
107,2,2,img,17,8,,,7,1,,,,1.3385276659973897,,human
108,2,2,img,18,6,,,6,9,,,,1.4523100829974283,,human
109,2,2,img,19,18,,,0,12,,,,1.2591414169874042,,human
110,2,2,img,20,22,,,11,9,,,,1.2651377089787275,,human
111,2,2,img,21,28,,,7,6,,,,1.1330549170088489,,AI
112,2,2,img,22,25,,,6,9,,,,1.1756418750155717,,human
113,2,2,img,23,12,,,10,0,,,,1.360690750007052,,human
114,2,2,img,24,23,,,6,3,,,,0.9345354580145795,,AI
115,2,2,img,25,24,,,4,12,,,,1.1853601670009084,,human
116,2,2,img,26,9,,,8,1,,,,1.2505016250070184,,AI
117,2,2,img,27,7,,,10,1,,,,1.538627208006801,,human
118,2,2,img,28,1,,,1,2,,,,1.3787000829761382,,human
119,2,2,img,29,21,,,8,11,,,,1.2917875830025878,,AI
120,2,2,img,30,30,,,0,13,,,,1.4417359170038253,,AI
121,2,3,,1,,1,AI,1,2,0,2,,1.25,human,
122,2,3,,1,,2,human,0,2,0,0,1.3653104590193834,1.4100841670006048,human,
123,2,3,,2,,1,AI,12,11,5,4,,1.25,human,
